trial_type,measured_onset,perfect_onset,trialnum
fix,89364.745976,89374.245976, 
realTrial,89380.820504,89380.745976, 1
realTrial,89387.247474,89387.245976, 2
realTrial,89393.747637,89393.745976, 3
realTrial,89400.247461,89400.245976, 4
realTrial,89406.747619,89406.745976, 5
realTrial,89413.247379,89413.245976, 6
realTrial,89419.747679,89419.745976, 7
realTrial,89426.247371,89426.245976, 8
realTrial,89432.747522,89432.745976, 9
realTrial,89439.247547,89439.245976, 10
realTrial,89445.747530,89445.745976, 11
realTrial,89452.247532,89452.245976, 12
realTrial,89458.747588,89458.745976, 13
realTrial,89465.247576,89465.245976, 14
realTrial,89471.747638,89471.745976, 15
realTrial,89478.247339,89478.245976, 16
realTrial,89484.747427,89484.745976, 17
realTrial,89491.247467,89491.245976, 18
realTrial,89497.747669,89497.745976, 19
realTrial,89504.247583,89504.245976, 20
realTrial,89510.747662,89510.745976, 21
realTrial,89517.247598,89517.245976, 22
realTrial,89523.747514,89523.745976, 23
realTrial,89530.247890,89530.245976, 24
fix,89536.746437,89536.745976, 
realTrial,89552.809366,89552.745976, 25
realTrial,89559.247166,89559.245976, 26
realTrial,89565.747296,89565.745976, 27
realTrial,89572.247398,89572.245976, 28
realTrial,89578.747984,89578.745976, 29
realTrial,89585.247468,89585.245976, 30
realTrial,89591.747510,89591.745976, 31
realTrial,89598.247379,89598.245976, 32
realTrial,89604.747637,89604.745976, 33
realTrial,89611.247407,89611.245976, 34
realTrial,89617.747227,89617.745976, 35
realTrial,89624.247239,89624.245976, 36
realTrial,89630.747305,89630.745976, 37
realTrial,89637.247343,89637.245976, 38
realTrial,89643.747486,89643.745976, 39
realTrial,89650.247265,89650.245976, 40
realTrial,89656.747218,89656.745976, 41
realTrial,89663.247199,89663.245976, 42
realTrial,89669.747261,89669.745976, 43
realTrial,89676.247254,89676.245976, 44
realTrial,89682.747637,89682.745976, 45
realTrial,89689.247737,89689.245976, 46
realTrial,89695.747434,89695.745976, 47
realTrial,89702.247543,89702.245976, 48
fix,89708.746230,89708.745976, 
