Contrast name:,Group (SamePath-SameAll)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.050158,0.103926,0.482636,5.000000,0.324871,0.868944
2,1399,139,1.000000,-0.013984,0.074268,-0.188297,5.000000,0.570976,0.868944
3,4863,486,1.000000,0.084073,0.172026,0.488722,5.000000,0.322860,0.868944
4,5104,510,1.000000,-0.130465,0.103255,-1.263520,5.000000,0.868944,0.868944
5,888,88,1.000000,0.133683,0.257088,0.519988,5.000000,0.312633,0.868944
6,1015,101,1.000000,-0.050442,0.133658,-0.377394,5.000000,0.639315,0.868944
7,3526,352,1.000000,-0.074031,0.090244,-0.820347,5.000000,0.775328,0.868944
8,3381,338,1.000000,-0.088089,0.079666,-1.105728,5.000000,0.840406,0.868944
9,1858,185,1.000000,-0.027219,0.065101,-0.418097,5.000000,0.653387,0.868944
10,1770,177,1.000000,-0.055324,0.085154,-0.649701,5.000000,0.727726,0.868944
11,2147,214,1.000000,-0.117139,0.111256,-1.052878,5.000000,0.829702,0.868944
12,2371,237,1.000000,-0.084922,0.076500,-1.110098,5.000000,0.841265,0.868944
13,2447,244,1.000000,0.046790,0.083609,0.559626,5.000000,0.299938,0.868944
14,1345,134,1.000000,-0.076291,0.116841,-0.652948,5.000000,0.728692,0.868944
15,2065,206,1.000000,0.200211,0.106849,1.873779,5.000000,0.059915,0.868944
16,2222,222,1.000000,-0.053763,0.114689,-0.468771,5.000000,0.670520,0.868944
17,1400,140,1.000000,-0.122832,0.140708,-0.872952,5.000000,0.788688,0.868944
18,1313,131,1.000000,-0.120845,0.102826,-1.175237,5.000000,0.853594,0.868944
