trial_type,onset
fix,316904.233670,316913.233670
movie,316920.378093,316920.233670
movie,316927.236632,316927.233670
movie,316934.235665,316934.233670
movie,316941.236202,316941.233670
movie,316948.236045,316948.233670
movie,316955.235728,316955.233670
movie,316962.235712,316962.233670
movie,316969.414022,316969.233670
movie,316976.236094,316976.233670
audio,316983.234170,316983.233670
audio,316990.233987,316990.233670
audio,316997.233869,316997.233670
movie,317004.235898,317004.233670
movie,317011.235593,317011.233670
movie,317018.235796,317018.233670
fix,317025.233767,317025.233670
movie,317041.357798,317041.233670
movie,317048.235893,317048.233670
movie,317055.235318,317055.233670
audio,317062.233908,317062.233670
audio,317069.233840,317069.233670
audio,317076.233959,317076.233670
movie,317083.236239,317083.233670
movie,317090.236390,317090.233670
movie,317097.235764,317097.233670
movie,317104.235929,317104.233670
movie,317111.236014,317111.233670
movie,317118.236218,317118.233670
movie,317125.236133,317125.233670
movie,317132.236188,317132.233670
movie,317139.235267,317139.233670
fix,317146.233715,317146.233670
