trial_type,onset
fix,177612.617844,177621.617844
movie,177628.752530,177628.617844
movie,177635.619871,177635.617844
movie,177642.619575,177642.617844
audio,177649.618082,177649.617844
audio,177656.618226,177656.617844
audio,177663.617946,177663.617844
movie,177670.620350,177670.617844
movie,177677.619696,177677.617844
movie,177684.619731,177684.617844
movie,177691.619976,177691.617844
movie,177698.619565,177698.617844
movie,177705.620130,177705.617844
movie,177712.619638,177712.617844
movie,177719.620199,177719.617844
movie,177726.620156,177726.617844
fix,177733.618253,177733.617844
movie,177749.737240,177749.617844
movie,177756.619623,177756.617844
movie,177763.619633,177763.617844
movie,177770.619614,177770.617844
movie,177777.619655,177777.617844
movie,177784.620061,177784.617844
movie,177791.619335,177791.617844
movie,177798.619588,177798.617844
movie,177805.619735,177805.617844
audio,177812.617941,177812.617844
audio,177819.617907,177819.617844
audio,177826.618328,177826.617844
movie,177833.619986,177833.617844
movie,177840.619807,177840.617844
movie,177847.619971,177847.617844
fix,177854.618492,177854.617844
