trial_type,onset
fix,332670.755885,332679.755885
movie,332686.869059,332686.755885
movie,332693.758611,332693.755885
movie,332700.758115,332700.755885
movie,332707.758525,332707.755885
movie,332714.758700,332714.755885
movie,332721.758707,332721.755885
audio,332728.755933,332728.755885
audio,332735.756208,332735.755885
audio,332742.755919,332742.755885
movie,332749.758422,332749.755885
movie,332756.757866,332756.755885
movie,332763.758723,332763.755885
movie,332770.758699,332770.755885
movie,332777.758520,332777.755885
movie,332784.935344,332784.755885
fix,332791.756540,332791.755885
movie,332807.861063,332807.755885
movie,332814.757854,332814.755885
movie,332821.758545,332821.755885
movie,332828.758308,332828.755885
movie,332835.758401,332835.755885
movie,332842.758224,332842.755885
audio,332849.755906,332849.755885
audio,332856.756425,332856.755885
audio,332863.756280,332863.755885
movie,332870.758369,332870.755885
movie,332877.758249,332877.755885
movie,332884.758417,332884.755885
movie,332891.758362,332891.755885
movie,332898.758256,332898.755885
movie,332905.758028,332905.755885
fix,332912.756074,332912.755885
