trial_type,onset
fix,341086.560936,341095.560936
movie,341102.684101,341102.560936
movie,341109.563112,341109.560936
movie,341116.563227,341116.560936
movie,341123.563995,341123.560936
movie,341130.562811,341130.560936
movie,341137.563576,341137.560936
movie,341144.562683,341144.560936
movie,341151.563149,341151.560936
movie,341158.563193,341158.560936
audio,341165.561233,341165.560936
audio,341172.561114,341172.560936
audio,341179.560951,341179.560936
movie,341186.562720,341186.560936
movie,341193.563142,341193.560936
movie,341200.562898,341200.560936
fix,341207.561163,341207.560936
movie,341223.700826,341223.560936
movie,341230.563041,341230.560936
movie,341237.562949,341237.560936
audio,341244.561512,341244.560936
audio,341251.560947,341251.560936
audio,341258.560989,341258.560936
movie,341265.562984,341265.560936
movie,341272.563345,341272.560936
movie,341279.563524,341279.560936
movie,341286.563442,341286.560936
movie,341293.563434,341293.560936
movie,341300.562929,341300.560936
movie,341307.563189,341307.560936
movie,341314.563397,341314.560936
movie,341321.563148,341321.560936
fix,341328.561176,341328.560936
