color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
yellow,14_NG_CG_XX_14_NA.ogv,14,NG,CG,XX,14,NA,1,C,3
orange,149_NG_VS_XX_18_NA.ogv,149,NG,VS,XX,18,NA,1,C,3
red,79_NG_ST_XX_4_NA.ogv,79,NG,ST,XX,4,NA,1,C,3
red,80_NG_ST_XX_5_NF.ogv,80,NG,ST,XX,5,NF,1,D,3
green,45_NG_JH_XX_8_NF.ogv,45,NG,JH,XX,8,NF,1,D,3
purple,70_NG_MY_XX_14_NF.ogv,70,NG,MY,XX,14,NF,1,D,3
red,83_G_ST_Frog_4.ogg,83,G,ST,Frog,4,audio,1,E,3
blue,33_G_DS_Mother_2.ogg,33,G,DS,Mother,2,audio,1,E,3
grey,98_G_SV_Bee_4.ogg,98,G,SV,Bee,4,audio,1,E,3
yellow,06_G_CG_Frog_2_NA.ogv,6,G,CG,Frog,2,NA,1,A,3
red,76_G_ST_Bee_1_NA.ogv,76,G,ST,Bee,1,NA,1,A,3
grey,106_G_SV_Hood_4_NA.ogv,106,G,SV,Hood,4,NA,1,A,3
yellow,07_G_CG_Frog_3_NF.ogv,7,G,CG,Frog,3,NF,1,B,3
orange,147_G_VS_Mother_4_NF.ogv,147,G,VS,Mother,4,NF,1,B,3
none,117_G_TK_Bee_4_NF.ogv,117,G,TK,Bee,4,NF,1,B,3
blue,32_G_DS_Mother_1_NF.ogv,32,G,DS,Mother,1,NF,1,B,3
grey,102_G_SV_Frog_4_NF.ogv,102,G,SV,Frog,4,NF,1,B,3
red,77_G_ST_Bee_2_NF.ogv,77,G,ST,Bee,2,NF,1,B,3
orange,146_G_VS_Mother_3_NA.ogv,146,G,VS,Mother,3,NA,1,A,3
blue,26_G_DS_Frog_3_NA.ogv,26,G,DS,Frog,3,NA,1,A,3
green,41_G_JH_Bee_4_NA.ogv,41,G,JH,Bee,4,NA,1,A,3
yellow,13_G_CG_Mother_1.ogg,13,G,CG,Mother,1,audio,1,E,3
orange,133_G_VS_Bee_2.ogg,133,G,VS,Bee,2,audio,1,E,3
purple,68_G_MY_Hood_2.ogg,68,G,MY,Hood,2,audio,1,E,3
blue,30_NG_DS_XX_11_NF.ogv,30,NG,DS,XX,11,NF,1,D,3
grey,95_NG_SV_XX_1_NF.ogv,95,NG,SV,XX,1,NF,1,D,3
orange,145_NG_VS_XX_14_NF.ogv,145,NG,VS,XX,14,NF,1,D,3
none,119_NG_TK_XX_6_NA.ogv,119,NG,TK,XX,6,NA,1,C,3
purple,69_NG_MY_XX_13_NA.ogv,69,NG,MY,XX,13,NA,1,C,3
blue,29_NG_DS_XX_10_NA.ogv,29,NG,DS,XX,10,NA,1,C,3
