color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
green,49_G_JH_Hood_4.ogg,49,G,JH,Hood,4,audio,5,E,4
red,89_G_ST_Mother_2.ogg,89,G,ST,Mother,2,audio,5,E,4
yellow,04_G_CG_Bee_4.ogg,4,G,CG,Bee,4,audio,5,E,4
none,122_G_TK_Hood_1_NA.ogv,122,G,TK,Hood,1,NA,5,A,4
blue,32_G_DS_Mother_1_NA.ogv,32,G,DS,Mother,1,NA,5,A,4
purple,62_G_MY_Frog_1_NA.ogv,62,G,MY,Frog,1,NA,5,A,4
red,78_G_ST_Bee_3_NF.ogv,78,G,ST,Bee,3,NF,5,B,4
none,123_G_TK_Hood_2_NF.ogv,123,G,TK,Hood,2,NF,5,B,4
grey,108_G_SV_Mother_2_NF.ogv,108,G,SV,Mother,2,NF,5,B,4
grey,95_NG_SV_XX_1_NA.ogv,95,NG,SV,XX,1,NA,5,C,4
green,40_NG_JH_XX_3_NA.ogv,40,NG,JH,XX,3,NA,5,C,4
red,90_NG_ST_XX_15_NA.ogv,90,NG,ST,XX,15,NA,5,C,4
grey,106_NG_SV_XX_12_NF.ogv,106,NG,SV,XX,12,NF,5,D,4
none,116_NG_TK_XX_3_NF.ogv,116,NG,TK,XX,3,NF,5,D,4
green,51_NG_JH_XX_14_NF.ogv,51,NG,JH,XX,14,NF,5,D,4
blue,31_NG_DS_XX_12_NF.ogv,31,NG,DS,XX,12,NF,5,D,4
purple,66_NG_MY_XX_10_NF.ogv,66,NG,MY,XX,10,NF,5,D,4
red,81_NG_ST_XX_6_NF.ogv,81,NG,ST,XX,6,NF,5,D,4
purple,75_NG_MY_XX_19_NA.ogv,75,NG,MY,XX,19,NA,5,C,4
blue,20_NG_DS_XX_1_NA.ogv,20,NG,DS,XX,1,NA,5,C,4
yellow,15_NG_CG_XX_15_NA.ogv,15,NG,CG,XX,15,NA,5,C,4
green,38_G_JH_Bee_1_NF.ogv,38,G,JH,Bee,1,NF,5,B,4
orange,138_G_VS_Frog_3_NF.ogv,138,G,VS,Frog,3,NF,5,B,4
yellow,13_G_CG_Mother_1_NF.ogv,13,G,CG,Mother,1,NF,5,B,4
orange,132_G_VS_Bee_1_NA.ogv,132,G,VS,Bee,1,NA,5,A,4
yellow,17_G_CG_Princess_1_NA.ogv,17,G,CG,Princess,1,NA,5,A,4
red,82_G_ST_Frog_3_NA.ogv,82,G,ST,Frog,3,NA,5,A,4
none,129_G_TK_Mother_4.ogg,129,G,TK,Mother,4,audio,5,E,4
orange,149_G_VS_Princess_2.ogg,149,G,VS,Princess,2,audio,5,E,4
purple,59_G_MY_Bee_3.ogg,59,G,MY,Bee,3,audio,5,E,4
