trial_type,onset
fix,318439.507307,318448.507307
movie,318455.955262,318455.507307
movie,318462.510315,318462.507307
movie,318469.510042,318469.507307
movie,318476.509985,318476.507307
movie,318483.510163,318483.507307
movie,318490.510324,318490.507307
audio,318497.508446,318497.507307
audio,318504.507615,318504.507307
audio,318511.507737,318511.507307
movie,318518.509886,318518.507307
movie,318525.509330,318525.507307
movie,318532.509521,318532.507307
movie,318539.509367,318539.507307
movie,318546.510113,318546.507307
movie,318553.509481,318553.507307
fix,318560.508315,318560.507307
movie,318576.654944,318576.507307
movie,318583.509422,318583.507307
movie,318590.509948,318590.507307
movie,318597.509715,318597.507307
movie,318604.509231,318604.507307
movie,318611.509800,318611.507307
audio,318618.507528,318618.507307
audio,318625.507748,318625.507307
audio,318632.507462,318632.507307
movie,318639.509720,318639.507307
movie,318646.509807,318646.507307
movie,318653.509760,318653.507307
movie,318660.509663,318660.507307
movie,318667.509745,318667.507307
movie,318674.509469,318674.507307
fix,318681.507560,318681.507307
