trial_type,onset
fix,88095.801207,88104.801207
audio,88111.844214,88111.801207
audio,88118.801514,88118.801207
audio,88125.801891,88125.801207
movie,88132.803240,88132.801207
movie,88139.803393,88139.801207
movie,88146.965469,88146.801207
movie,88153.803015,88153.801207
movie,88160.803202,88160.801207
movie,88167.803380,88167.801207
movie,88174.803246,88174.801207
movie,88181.803458,88181.801207
movie,88188.803198,88188.801207
movie,88195.803324,88195.801207
movie,88202.803815,88202.801207
movie,88209.803413,88209.801207
fix,88216.801448,88216.801207
movie,88232.916172,88232.801207
movie,88239.802761,88239.801207
movie,88246.803438,88246.801207
movie,88253.803897,88253.801207
movie,88260.803740,88260.801207
movie,88267.803478,88267.801207
movie,88274.803493,88274.801207
movie,88281.803470,88281.801207
movie,88288.802806,88288.801207
movie,88295.803011,88295.801207
movie,88302.803181,88302.801207
movie,88309.803168,88309.801207
audio,88316.801325,88316.801207
audio,88323.801505,88323.801207
audio,88330.801489,88330.801207
fix,88337.801794,88337.801207
