trial_type,onset
fix,3108.394157,3117.394157
movie,3124.449498,3124.394157
movie,3131.497055,3131.394157
movie,3138.396656,3138.394157
movie,3145.396423,3145.394157
movie,3152.396334,3152.394157
movie,3159.396259,3159.394157
movie,3166.501680,3166.394157
movie,3173.397430,3173.394157
movie,3180.396075,3180.394157
audio,3187.394910,3187.394157
audio,3194.394231,3194.394157
audio,3201.394438,3201.394157
movie,3208.396285,3208.394157
movie,3215.396045,3215.394157
movie,3222.396482,3222.394157
fix,3229.394688,3229.394157
movie,3245.439444,3245.394157
movie,3252.395864,3252.394157
movie,3259.396345,3259.394157
audio,3266.394173,3266.394157
audio,3273.394770,3273.394157
audio,3280.394681,3280.394157
movie,3287.396233,3287.394157
movie,3294.396636,3294.394157
movie,3301.396389,3301.394157
movie,3308.396021,3308.394157
movie,3315.396653,3315.394157
movie,3322.396251,3322.394157
movie,3329.396235,3329.394157
movie,3336.396166,3336.394157
movie,3343.396409,3343.394157
fix,3350.394792,3350.394157
