trial_type,onset
fix,113866.264462,113875.264462
movie,113883.041818,113882.264462
movie,113889.267171,113889.264462
movie,113896.266450,113896.264462
movie,113903.266824,113903.264462
movie,113910.266504,113910.264462
movie,113917.426005,113917.264462
movie,113924.266684,113924.264462
movie,113931.266641,113931.264462
movie,113938.266947,113938.264462
movie,113945.266756,113945.264462
movie,113952.266505,113952.264462
movie,113959.266239,113959.264462
audio,113966.265445,113966.264462
audio,113973.264673,113973.264462
audio,113980.264808,113980.264462
fix,113987.264995,113987.264462
audio,114003.293853,114003.264462
audio,114010.264868,114010.264462
audio,114017.264697,114017.264462
movie,114024.266704,114024.264462
movie,114031.266760,114031.264462
movie,114038.267158,114038.264462
movie,114045.267166,114045.264462
movie,114052.266124,114052.264462
movie,114059.266943,114059.264462
movie,114066.266370,114066.264462
movie,114073.266145,114073.264462
movie,114080.266417,114080.264462
movie,114087.266302,114087.264462
movie,114094.266569,114094.264462
movie,114101.266898,114101.264462
fix,114108.264737,114108.264462
