color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
none,123_NG_TK_XX_10_NF.ogv,123,NG,TK,XX,10,NF,3,D,3
grey,103_NG_SV_XX_9_NF.ogv,103,NG,SV,XX,9,NF,3,D,3
orange,138_NG_VS_XX_7_NF.ogv,138,NG,VS,XX,7,NF,3,D,3
grey,96_G_SV_Bee_2.ogg,96,G,SV,Bee,2,audio,3,E,3
blue,26_G_DS_Frog_3.ogg,26,G,DS,Frog,3,audio,3,E,3
green,46_G_JH_Hood_1.ogg,46,G,JH,Hood,1,audio,3,E,3
red,79_G_ST_Bee_4_NA.ogv,79,G,ST,Bee,4,NA,3,A,3
blue,24_G_DS_Frog_1_NA.ogv,24,G,DS,Frog,1,NA,3,A,3
orange,144_G_VS_Mother_1_NA.ogv,144,G,VS,Mother,1,NA,3,A,3
none,130_G_TK_Princess_1_NF.ogv,130,G,TK,Princess,1,NF,3,B,3
grey,110_G_SV_Mother_4_NF.ogv,110,G,SV,Mother,4,NF,3,B,3
purple,65_G_MY_Frog_4_NF.ogv,65,G,MY,Frog,4,NF,3,B,3
red,77_NG_ST_XX_2_NA.ogv,77,NG,ST,XX,2,NA,3,C,3
yellow,07_NG_CG_XX_7_NA.ogv,7,NG,CG,XX,7,NA,3,C,3
blue,27_NG_DS_XX_8_NA.ogv,27,NG,DS,XX,8,NA,3,C,3
grey,112_NG_SV_XX_18_NA.ogv,112,NG,SV,XX,18,NA,3,C,3
orange,132_NG_VS_XX_1_NA.ogv,132,NG,VS,XX,1,NA,3,C,3
green,47_NG_JH_XX_10_NA.ogv,47,NG,JH,XX,10,NA,3,C,3
blue,25_G_DS_Frog_2_NF.ogv,25,G,DS,Frog,2,NF,3,B,3
green,40_G_JH_Bee_3_NF.ogv,40,G,JH,Bee,3,NF,3,B,3
red,90_G_ST_Mother_3_NF.ogv,90,G,ST,Mother,3,NF,3,B,3
none,124_G_TK_Hood_3_NA.ogv,124,G,TK,Hood,3,NA,3,A,3
purple,59_G_MY_Bee_3_NA.ogv,59,G,MY,Bee,3,NA,3,A,3
yellow,14_G_CG_Mother_2_NA.ogv,14,G,CG,Mother,2,NA,3,A,3
orange,141_G_VS_Hood_2.ogg,141,G,VS,Hood,2,audio,3,E,3
yellow,01_G_CG_Bee_1.ogg,1,G,CG,Bee,1,audio,3,E,3
purple,71_G_MY_Mother_1.ogg,71,G,MY,Mother,1,audio,3,E,3
purple,73_NG_MY_XX_17_NF.ogv,73,NG,MY,XX,17,NF,3,D,3
yellow,18_NG_CG_XX_18_NF.ogv,18,NG,CG,XX,18,NF,3,D,3
green,53_NG_JH_XX_16_NF.ogv,53,NG,JH,XX,16,NF,3,D,3
