trial_type,onset
fix,339543.557620,339552.557620
audio,339559.591189,339559.557620
audio,339566.558079,339566.557620
audio,339573.558130,339573.557620
movie,339580.559709,339580.557620
movie,339587.559476,339587.557620
movie,339594.559533,339594.557620
movie,339601.560108,339601.557620
movie,339608.559641,339608.557620
movie,339615.559587,339615.557620
movie,339622.559746,339622.557620
movie,339629.559977,339629.557620
movie,339636.559611,339636.557620
movie,339643.559724,339643.557620
movie,339650.559777,339650.557620
movie,339657.559762,339657.557620
fix,339664.557723,339664.557620
movie,339680.704884,339680.557620
movie,339687.560013,339687.557620
movie,339694.560356,339694.557620
movie,339701.559543,339701.557620
movie,339708.559581,339708.557620
movie,339715.559795,339715.557620
movie,339722.559519,339722.557620
movie,339729.559821,339729.557620
movie,339736.559612,339736.557620
movie,339743.559695,339743.557620
movie,339750.559298,339750.557620
movie,339757.559820,339757.557620
audio,339764.558234,339764.557620
audio,339771.558176,339771.557620
audio,339778.558280,339778.557620
fix,339785.558160,339785.557620
