trial_type,onset
fix,116152.408705,116161.408705
movie,116168.524547,116168.408705
movie,116175.411957,116175.408705
movie,116182.410826,116182.408705
movie,116189.410485,116189.408705
movie,116196.411482,116196.408705
movie,116203.433437,116203.408705
audio,116210.409490,116210.408705
audio,116217.408992,116217.408705
audio,116224.408857,116224.408705
movie,116231.411820,116231.408705
movie,116238.410450,116238.408705
movie,116245.411155,116245.408705
movie,116252.411163,116252.408705
movie,116259.410910,116259.408705
movie,116266.411174,116266.408705
fix,116273.409366,116273.408705
movie,116289.508869,116289.408705
movie,116296.411004,116296.408705
movie,116303.410842,116303.408705
movie,116310.410660,116310.408705
movie,116317.410534,116317.408705
movie,116324.410927,116324.408705
audio,116331.409310,116331.408705
audio,116338.408813,116338.408705
audio,116345.409209,116345.408705
movie,116352.410997,116352.408705
movie,116359.411389,116359.408705
movie,116366.411008,116366.408705
movie,116373.410812,116373.408705
movie,116380.411668,116380.408705
movie,116387.411471,116387.408705
fix,116394.408948,116394.408705
