trial_type,onset
fix,170094.947443,170103.947443
movie,170111.657442,170110.947443
movie,170117.950768,170117.947443
movie,170124.949514,170124.947443
movie,170131.949948,170131.947443
movie,170138.949789,170138.947443
movie,170145.949750,170145.947443
audio,170152.947989,170152.947443
audio,170159.947972,170159.947443
audio,170166.947747,170166.947443
movie,170173.950038,170173.947443
movie,170180.949669,170180.947443
movie,170187.949547,170187.947443
movie,170194.949815,170194.947443
movie,170201.949703,170201.947443
movie,170208.950155,170208.947443
fix,170215.947932,170215.947443
movie,170232.333944,170231.947443
movie,170239.122753,170238.947443
movie,170245.949222,170245.947443
movie,170252.949062,170252.947443
movie,170259.949448,170259.947443
movie,170266.948908,170266.947443
audio,170273.948021,170273.947443
audio,170280.947551,170280.947443
audio,170287.948073,170287.947443
movie,170294.949352,170294.947443
movie,170301.949555,170301.947443
movie,170308.949553,170308.947443
movie,170315.949287,170315.947443
movie,170322.949418,170322.947443
movie,170329.949528,170329.947443
fix,170336.948003,170336.947443
