trial_type,onset
fix,170400.311975,170409.311975
movie,170416.694591,170416.311975
movie,170423.314380,170423.311975
movie,170430.314436,170430.311975
audio,170437.312292,170437.311975
audio,170444.312083,170444.311975
audio,170451.312151,170451.311975
movie,170458.314216,170458.311975
movie,170465.314088,170465.311975
movie,170472.314418,170472.311975
movie,170479.314838,170479.311975
movie,170486.314028,170486.311975
movie,170493.314306,170493.311975
movie,170500.314080,170500.311975
movie,170507.314270,170507.311975
movie,170514.314368,170514.311975
fix,170521.312450,170521.311975
movie,170537.413396,170537.311975
movie,170544.314510,170544.311975
movie,170551.314110,170551.311975
movie,170558.314306,170558.311975
movie,170565.313834,170565.311975
movie,170572.313714,170572.311975
movie,170579.314294,170579.311975
movie,170586.313982,170586.311975
movie,170593.314281,170593.311975
audio,170600.312624,170600.311975
audio,170607.312626,170607.311975
audio,170614.312533,170614.311975
movie,170621.314222,170621.311975
movie,170628.314123,170628.311975
movie,170635.314497,170635.311975
fix,170642.312340,170642.311975
