trial_type,onset
fix,353997.148653,354006.148653
audio,354013.192706,354013.148653
audio,354020.149333,354020.148653
audio,354027.149266,354027.148653
movie,354034.151944,354034.148653
movie,354041.150668,354041.148653
movie,354048.151031,354048.148653
movie,354055.150810,354055.148653
movie,354062.151186,354062.148653
movie,354069.150933,354069.148653
movie,354076.150784,354076.148653
movie,354083.150433,354083.148653
movie,354090.151128,354090.148653
movie,354097.151343,354097.148653
movie,354104.197420,354104.148653
movie,354111.150668,354111.148653
fix,354118.149621,354118.148653
movie,354134.534772,354134.148653
movie,354141.150355,354141.148653
movie,354148.150749,354148.148653
movie,354155.150653,354155.148653
movie,354162.150973,354162.148653
movie,354169.150623,354169.148653
movie,354176.150713,354176.148653
movie,354183.150447,354183.148653
movie,354190.150856,354190.148653
movie,354197.151058,354197.148653
movie,354204.150719,354204.148653
movie,354211.150722,354211.148653
audio,354218.149009,354218.148653
audio,354225.149158,354225.148653
audio,354232.149187,354232.148653
fix,354239.148944,354239.148653
