trial_type,onset
fix,316598.519248,316607.519248
movie,316614.936688,316614.519248
movie,316621.521047,316621.519248
movie,316628.520779,316628.519248
movie,316635.521684,316635.519248
movie,316642.521475,316642.519248
movie,316649.520895,316649.519248
movie,316656.521073,316656.519248
movie,316663.521318,316663.519248
movie,316670.521143,316670.519248
movie,316677.521408,316677.519248
movie,316684.521370,316684.519248
movie,316691.521551,316691.519248
audio,316698.519735,316698.519248
audio,316705.519298,316705.519248
audio,316712.519877,316712.519248
fix,316719.519257,316719.519248
audio,316735.551893,316735.519248
audio,316742.519510,316742.519248
audio,316749.519893,316749.519248
movie,316756.521171,316756.519248
movie,316763.521720,316763.519248
movie,316770.521870,316770.519248
movie,316777.708236,316777.519248
movie,316784.521806,316784.519248
movie,316791.521583,316791.519248
movie,316798.521469,316798.519248
movie,316805.521946,316805.519248
movie,316812.522053,316812.519248
movie,316819.521176,316819.519248
movie,316826.521698,316826.519248
movie,316833.521469,316833.519248
fix,316840.519528,316840.519248
