trial_type,onset
fix,178317.704695,178326.704695
movie,178333.813759,178333.704695
movie,178340.707561,178340.704695
movie,178347.707189,178347.704695
movie,178354.706592,178354.704695
movie,178361.707370,178361.704695
movie,178368.707101,178368.704695
movie,178375.707441,178375.704695
movie,178382.706921,178382.704695
movie,178389.889935,178389.704695
audio,178396.705382,178396.704695
audio,178403.705207,178403.704695
audio,178410.704978,178410.704695
movie,178417.707421,178417.704695
movie,178424.706993,178424.704695
movie,178431.706713,178431.704695
fix,178438.705442,178438.704695
movie,178455.114695,178454.704695
movie,178461.706482,178461.704695
movie,178468.706470,178468.704695
audio,178475.705119,178475.704695
audio,178482.705035,178482.704695
audio,178489.704953,178489.704695
movie,178496.707015,178496.704695
movie,178503.707207,178503.704695
movie,178510.706985,178510.704695
movie,178517.706613,178517.704695
movie,178524.706487,178524.704695
movie,178531.706533,178531.704695
movie,178538.707083,178538.704695
movie,178545.706635,178545.704695
movie,178552.706735,178552.704695
fix,178559.705211,178559.704695
