trial_type,onset
fix,341924.440558,341933.440558
movie,341940.876239,341940.440558
movie,341947.442662,341947.440558
movie,341954.442581,341954.440558
audio,341961.441250,341961.440558
audio,341968.440745,341968.440558
audio,341975.441088,341975.440558
movie,341982.443411,341982.440558
movie,341989.442633,341989.440558
movie,341996.442647,341996.440558
movie,342003.442928,342003.440558
movie,342010.442861,342010.440558
movie,342017.443116,342017.440558
movie,342024.442417,342024.440558
movie,342031.443238,342031.440558
movie,342038.442804,342038.440558
fix,342045.440691,342045.440558
movie,342061.867287,342061.440558
movie,342068.442604,342068.440558
movie,342075.443182,342075.440558
movie,342082.443126,342082.440558
movie,342089.443112,342089.440558
movie,342096.442723,342096.440558
movie,342103.442602,342103.440558
movie,342111.093604,342110.440558
movie,342117.442914,342117.440558
audio,342124.440615,342124.440558
audio,342131.440767,342131.440558
audio,342138.441097,342138.440558
movie,342145.443503,342145.440558
movie,342152.443332,342152.440558
movie,342159.442684,342159.440558
fix,342166.441082,342166.440558
