trial_type,onset
fix,348288.661193,348297.661193
movie,348304.782238,348304.661193
movie,348311.664700,348311.661193
movie,348318.663348,348318.661193
movie,348325.663582,348325.661193
movie,348332.663561,348332.661193
movie,348339.663771,348339.661193
audio,348346.661929,348346.661193
audio,348353.661211,348353.661193
audio,348360.661724,348360.661193
movie,348367.663028,348367.661193
movie,348374.663520,348374.661193
movie,348381.663145,348381.661193
movie,348388.663479,348388.661193
movie,348395.663482,348395.661193
movie,348402.663371,348402.661193
fix,348409.661713,348409.661193
movie,348426.042830,348425.661193
movie,348432.663175,348432.661193
movie,348439.663523,348439.661193
movie,348446.663126,348446.661193
movie,348453.662902,348453.661193
movie,348460.663722,348460.661193
audio,348467.661780,348467.661193
audio,348474.661356,348474.661193
audio,348481.661340,348481.661193
movie,348488.662971,348488.661193
movie,348495.663437,348495.661193
movie,348502.663172,348502.661193
movie,348509.664075,348509.661193
movie,348516.663510,348516.661193
movie,348523.663000,348523.661193
fix,348530.661608,348530.661193
