trial_type,onset
fix,164158.290855,164167.290855
movie,164174.396569,164174.290855
movie,164181.293264,164181.290855
movie,164188.292785,164188.290855
movie,164195.293421,164195.290855
movie,164202.292758,164202.290855
movie,164209.293450,164209.290855
audio,164216.291438,164216.290855
audio,164223.291049,164223.290855
audio,164230.291265,164230.290855
movie,164237.293162,164237.290855
movie,164244.293133,164244.290855
movie,164251.292974,164251.290855
movie,164258.292631,164258.290855
movie,164265.293852,164265.290855
movie,164272.292620,164272.290855
fix,164279.291213,164279.290855
movie,164295.385945,164295.290855
movie,164302.293149,164302.290855
movie,164309.293512,164309.290855
movie,164316.292698,164316.290855
movie,164323.292993,164323.290855
movie,164330.293434,164330.290855
audio,164337.291363,164337.290855
audio,164344.291172,164344.290855
audio,164351.291511,164351.290855
movie,164358.293430,164358.290855
movie,164365.293335,164365.290855
movie,164372.293388,164372.290855
movie,164379.293428,164379.290855
movie,164386.293074,164386.290855
movie,164393.292655,164393.290855
fix,164400.290970,164400.290855
