trial_type,onset
fix,332364.451792,332373.451792
movie,332380.522969,332380.451792
movie,332387.453678,332387.451792
movie,332394.454286,332394.451792
movie,332401.454550,332401.451792
movie,332408.454345,332408.451792
movie,332415.454414,332415.451792
movie,332422.454308,332422.451792
movie,332429.454369,332429.451792
movie,332436.453954,332436.451792
audio,332443.451917,332443.451792
audio,332450.451989,332450.451792
audio,332457.451882,332457.451792
movie,332464.454708,332464.451792
movie,332471.454089,332471.451792
movie,332478.454395,332478.451792
fix,332485.452125,332485.451792
movie,332501.516341,332501.451792
movie,332508.453985,332508.451792
movie,332515.454773,332515.451792
audio,332522.452281,332522.451792
audio,332529.452083,332529.451792
audio,332536.452048,332536.451792
movie,332543.454144,332543.451792
movie,332550.454227,332550.451792
movie,332557.454238,332557.451792
movie,332564.454085,332564.451792
movie,332571.454176,332571.451792
movie,332578.454533,332578.451792
movie,332585.454701,332585.451792
movie,332592.454002,332592.451792
movie,332599.454212,332599.451792
fix,332606.452283,332606.451792
