trial_type,onset
fix,325971.772134,325980.772134
movie,325987.868472,325987.772134
movie,325994.774559,325994.772134
movie,326001.775055,326001.772134
audio,326008.773134,326008.772134
audio,326015.772620,326015.772134
audio,326022.772514,326022.772134
movie,326029.774595,326029.772134
movie,326036.774535,326036.772134
movie,326043.774320,326043.772134
movie,326050.774637,326050.772134
movie,326057.774768,326057.772134
movie,326064.774540,326064.772134
movie,326071.774446,326071.772134
movie,326078.774352,326078.772134
movie,326085.774249,326085.772134
fix,326092.772859,326092.772134
movie,326108.864149,326108.772134
movie,326115.774723,326115.772134
movie,326122.774561,326122.772134
movie,326129.774453,326129.772134
movie,326136.774231,326136.772134
movie,326143.774779,326143.772134
movie,326150.775082,326150.772134
movie,326157.774125,326157.772134
movie,326164.774596,326164.772134
audio,326171.772813,326171.772134
audio,326178.772623,326178.772134
audio,326185.772214,326185.772134
movie,326192.775087,326192.772134
movie,326199.774784,326199.772134
movie,326206.774507,326206.772134
fix,326213.772441,326213.772134
