trial_type,onset
fix,298481.186387,298490.186387
movie,298497.310053,298497.186387
movie,298504.188948,298504.186387
movie,298511.188581,298511.186387
movie,298518.188243,298518.186387
movie,298525.188623,298525.186387
movie,298532.189351,298532.186387
movie,298539.188568,298539.186387
movie,298546.188913,298546.186387
movie,298553.188831,298553.186387
audio,298560.186479,298560.186387
audio,298567.186461,298567.186387
audio,298574.186749,298574.186387
movie,298581.188703,298581.186387
movie,298588.188746,298588.186387
movie,298595.188625,298595.186387
fix,298602.186931,298602.186387
movie,298618.298832,298618.186387
movie,298625.188524,298625.186387
movie,298632.188709,298632.186387
audio,298639.186550,298639.186387
audio,298646.186939,298646.186387
audio,298653.186903,298653.186387
movie,298660.188429,298660.186387
movie,298667.188503,298667.186387
movie,298674.189119,298674.186387
movie,298681.188085,298681.186387
movie,298688.188716,298688.186387
movie,298695.188790,298695.186387
movie,298702.188476,298702.186387
movie,298709.188412,298709.186387
movie,298716.189420,298716.186387
fix,298723.186641,298723.186387
