color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
green,55_NG_JH_XX_18_NA.ogv,55,NG,JH,XX,18,NA,5,C,3
none,115_NG_TK_XX_2_NA.ogv,115,NG,TK,XX,2,NA,5,C,3
blue,30_NG_DS_XX_11_NA.ogv,30,NG,DS,XX,11,NA,5,C,3
green,56_NG_JH_XX_19_NF.ogv,56,NG,JH,XX,19,NF,5,D,3
blue,36_NG_DS_XX_17_NF.ogv,36,NG,DS,XX,17,NF,5,D,3
grey,111_NG_SV_XX_17_NF.ogv,111,NG,SV,XX,17,NF,5,D,3
purple,64_G_MY_Frog_3.ogg,64,G,MY,Frog,3,audio,5,E,3
red,84_G_ST_Hood_1.ogg,84,G,ST,Hood,1,audio,5,E,3
yellow,14_G_CG_Mother_2.ogg,14,G,CG,Mother,2,audio,5,E,3
yellow,07_G_CG_Frog_3_NA.ogv,7,G,CG,Frog,3,NA,5,A,3
orange,142_G_VS_Hood_3_NA.ogv,142,G,VS,Hood,3,NA,5,A,3
blue,37_G_DS_Princess_3_NA.ogv,37,G,DS,Princess,3,NA,5,A,3
red,78_G_ST_Bee_3_NF.ogv,78,G,ST,Bee,3,NF,5,B,3
yellow,13_G_CG_Mother_1_NF.ogv,13,G,CG,Mother,1,NF,5,B,3
grey,103_G_SV_Hood_1_NF.ogv,103,G,SV,Hood,1,NF,5,B,3
none,118_G_TK_Frog_1_NF.ogv,118,G,TK,Frog,1,NF,5,B,3
blue,23_G_DS_Bee_4_NF.ogv,23,G,DS,Bee,4,NF,5,B,3
purple,68_G_MY_Hood_2_NF.ogv,68,G,MY,Hood,2,NF,5,B,3
green,52_G_JH_Mother_3_NA.ogv,52,G,JH,Mother,3,NA,5,A,3
purple,57_G_MY_Bee_1_NA.ogv,57,G,MY,Bee,1,NA,5,A,3
grey,102_G_SV_Frog_4_NA.ogv,102,G,SV,Frog,4,NA,5,A,3
green,49_G_JH_Hood_4.ogg,49,G,JH,Hood,4,audio,5,E,3
none,114_G_TK_Bee_1.ogg,114,G,TK,Bee,1,audio,5,E,3
grey,99_G_SV_Frog_1.ogg,99,G,SV,Frog,1,audio,5,E,3
orange,141_NG_VS_XX_10_NF.ogv,141,NG,VS,XX,10,NF,5,D,3
red,76_NG_ST_XX_1_NF.ogv,76,NG,ST,XX,1,NF,5,D,3
yellow,16_NG_CG_XX_16_NF.ogv,16,NG,CG,XX,16,NF,5,D,3
orange,150_NG_VS_XX_19_NA.ogv,150,NG,VS,XX,19,NA,5,C,3
grey,110_NG_SV_XX_16_NA.ogv,110,NG,SV,XX,16,NA,5,C,3
purple,75_NG_MY_XX_19_NA.ogv,75,NG,MY,XX,19,NA,5,C,3
