trial_type,onset
fix,355440.654355,355449.654355
movie,355457.055731,355456.654355
movie,355463.807390,355463.654355
movie,355470.656836,355470.654355
movie,355477.656588,355477.654355
movie,355484.656460,355484.654355
movie,355491.656194,355491.654355
movie,355498.656265,355498.654355
movie,355505.656344,355505.654355
movie,355512.678917,355512.654355
audio,355519.654391,355519.654355
audio,355526.654963,355526.654355
audio,355533.654655,355533.654355
movie,355540.656680,355540.654355
movie,355547.656504,355547.654355
movie,355554.656618,355554.654355
fix,355561.654844,355561.654355
movie,355578.048734,355577.654355
movie,355584.656274,355584.654355
movie,355591.656655,355591.654355
audio,355598.654671,355598.654355
audio,355605.654578,355605.654355
audio,355612.654859,355612.654355
movie,355619.656298,355619.654355
movie,355626.656659,355626.654355
movie,355633.656711,355633.654355
movie,355640.656673,355640.654355
movie,355647.656288,355647.654355
movie,355654.656506,355654.654355
movie,355661.656446,355661.654355
movie,355668.656365,355668.654355
movie,355675.843911,355675.654355
fix,355682.654371,355682.654355
