Scanplan info,,,,,,,,,,,,First level analysis (standard) completed or found & transferred from prev session,,,,,,,LocRespEventsMP Toolbox (top %10 voxels) conducted,,,,
Session ID,Unique ID,Participant No,EventsMP,LangLoc,MDLoc,DyLoc,MTLoc,BioLoc,Func Runs,Notes,,EventsMP,LangLoc,MDLoc/spatialFIN,DyLoc,MTLoc,BioLoc,,LangLoc,MDLoc/spatialFIN,DyLoc,MTLoc,BioLoc
FED_20150720a_3T2,199,1,1 2 3 4 7,prev,prev,8 9 10 11,5 6 ,NA,9 11 13 15 17 19 21 23 25 27 29,,,y,y,y,y,y,NA,,y,,,,
FED_20150820a_3T2,322,2,3 4 7 11 13,1 2,5,8 9,6  12,10 14,5 7 9 11 13 17 19 21 23 25 27 29 31 33,,,y,y,,y,y,,,y,,,,
FED_20150823_3T2,323,3,6 7 11 12 13,3 4,5,1 2,8 10,9 14,5 7 9 11 13 15 17 19 21 23 25 27 31 33,,,y,y,,y,y,,,y,,,,
FED_20151118a_3T1,211,4,1 2 5 6 9,prev,prev,prev,3 4,7 8,10 12  21 25 27 29 31 33 35 ,Ha ha ha disaster session,,y,y,*,*,,,,y,,,,
FED_20151119a_3T1,333,5,4 5 8 13 14,1 2,3,11 12,6 7,9 10,6 8 10 12 14 18 20 22 24 26 28 30 34 36,,,y,y,,,,,,y,,,,
FED_20151120b_3T1,189,6,1 2 5 8 9,prev,prev,prev,3 6,4 7,6 8 10 12 14 16 18 20 22,,,y,y,*,*,,,,y,,,,
,,,,,,,,,,,,,,,,,,Name of current analysis folder,langfROIsrespEventsMP_20160104,,,,
