file,manner,path,agent,set,,
vibrate_past_7.mpg,vibrate,past,7,B,_,.mpg
vibrate_under_4.mpg,vibrate,under,4,B,_,.mpg
vibrate_under_5.mpg,vibrate,under,5,B,_,.mpg
vibrate_under_6.mpg,vibrate,under,6,B,_,.mpg
vibrate_under_7.mpg,vibrate,under,7,B,_,.mpg
vibrate_behind_4.mpg,vibrate,behind,4,B,_,.mpg
vibrate_behind_5.mpg,vibrate,behind,5,B,_,.mpg
vibrate_behind_6.mpg,vibrate,behind,6,B,_,.mpg
vibrate_behind_7.mpg,vibrate,behind,7,B,_,.mpg
vibrate_underfar_4.mpg,vibrate,underfar,4,B,_,.mpg
vibrate_underfar_5.mpg,vibrate,underfar,5,B,_,.mpg
vibrate_underfar_6.mpg,vibrate,underfar,6,B,_,.mpg
vibrate_underfar_7.mpg,vibrate,underfar,7,B,_,.mpg
stopstart_past_4.mpg,stopstart,past,4,B,_,.mpg
stopstart_past_5.mpg,stopstart,past,5,B,_,.mpg
stopstart_past_6.mpg,stopstart,past,6,B,_,.mpg
stopstart_past_7.mpg,stopstart,past,7,B,_,.mpg
stopstart_under_4.mpg,stopstart,under,4,B,_,.mpg
stopstart_under_5.mpg,stopstart,under,5,B,_,.mpg
stopstart_under_6.mpg,stopstart,under,6,B,_,.mpg
stopstart_under_7.mpg,stopstart,under,7,B,_,.mpg
stopstart_behind_4.mpg,stopstart,behind,4,B,_,.mpg
stopstart_behind_5.mpg,stopstart,behind,5,B,_,.mpg
stopstart_behind_6.mpg,stopstart,behind,6,B,_,.mpg
stopstart_behind_7.mpg,stopstart,behind,7,B,_,.mpg
stopstart_underfar_4.mpg,stopstart,underfar,4,B,_,.mpg
stopstart_underfar_5.mpg,stopstart,underfar,5,B,_,.mpg
stopstart_underfar_6.mpg,stopstart,underfar,6,B,_,.mpg
stopstart_underfar_7.mpg,stopstart,underfar,7,B,_,.mpg
none_loc1_1.mpg,none,loc1,1,C,_,.mpg
none_loc1_2.mpg,none,loc1,2,C,_,.mpg
none_loc1_3.mpg,none,loc1,3,C,_,.mpg
none_loc1_8.mpg,none,loc1,8,C,_,.mpg
none_loc2_1.mpg,none,loc2,1,C,_,.mpg
none_loc2_2.mpg,none,loc2,2,C,_,.mpg
none_loc2_3.mpg,none,loc2,3,C,_,.mpg
none_loc2_8.mpg,none,loc2,8,C,_,.mpg
none_loc3_1.mpg,none,loc3,1,C,_,.mpg
none_loc3_2.mpg,none,loc3,2,C,_,.mpg
none_loc3_3.mpg,none,loc3,3,C,_,.mpg
none_loc3_8.mpg,none,loc3,8,C,_,.mpg
none_loc4_1.mpg,none,loc4,1,C,_,.mpg
none_loc4_2.mpg,none,loc4,2,C,_,.mpg
none_loc4_3.mpg,none,loc4,3,C,_,.mpg
none_loc4_8.mpg,none,loc4,8,C,_,.mpg
none_loc5_4.mpg,none,loc5,4,D,_,.mpg
none_loc5_5.mpg,none,loc5,5,D,_,.mpg
none_loc5_6.mpg,none,loc5,6,D,_,.mpg
none_loc5_7.mpg,none,loc5,7,D,_,.mpg
none_loc6_4.mpg,none,loc6,4,D,_,.mpg
none_loc6_5.mpg,none,loc6,5,D,_,.mpg
none_loc6_6.mpg,none,loc6,6,D,_,.mpg
none_loc6_7.mpg,none,loc6,7,D,_,.mpg
none_loc7_4.mpg,none,loc7,4,D,_,.mpg
none_loc7_5.mpg,none,loc7,5,D,_,.mpg
none_loc7_6.mpg,none,loc7,6,D,_,.mpg
none_loc7_7.mpg,none,loc7,7,D,_,.mpg
none_loc8_4.mpg,none,loc8,4,D,_,.mpg
none_loc8_5.mpg,none,loc8,5,D,_,.mpg
none_loc8_6.mpg,none,loc8,6,D,_,.mpg
none_loc8_7.mpg,none,loc8,7,D,_,.mpg
