file,manner,path,agent,set,,
rotate_to_1.mpg,rotate,to,1,A,_,.mpg
rotate_to_2.mpg,rotate,to,2,A,_,.mpg
rotate_to_3.mpg,rotate,to,3,A,_,.mpg
rotate_to_8.mpg,rotate,to,8,A,_,.mpg
rotate_tofar_1.mpg,rotate,tofar,1,A,_,.mpg
rotate_tofar_2.mpg,rotate,tofar,2,A,_,.mpg
rotate_tofar_3.mpg,rotate,tofar,3,A,_,.mpg
rotate_tofar_8.mpg,rotate,tofar,8,A,_,.mpg
rotate_circle_1.mpg,rotate,circle,1,A,_,.mpg
rotate_circle_2.mpg,rotate,circle,2,A,_,.mpg
rotate_circle_3.mpg,rotate,circle,3,A,_,.mpg
rotate_circle_8.mpg,rotate,circle,8,A,_,.mpg
rotate_onto_1.mpg,rotate,onto,1,A,_,.mpg
rotate_onto_2.mpg,rotate,onto,2,A,_,.mpg
rotate_onto_3.mpg,rotate,onto,3,A,_,.mpg
rotate_onto_8.mpg,rotate,onto,8,A,_,.mpg
rock_to_1.mpg,rock,to,1,A,_,.mpg
rock_to_2.mpg,rock,to,2,A,_,.mpg
rock_to_3.mpg,rock,to,3,A,_,.mpg
rock_to_8.mpg,rock,to,8,A,_,.mpg
rock_tofar_1.mpg,rock,tofar,1,A,_,.mpg
rock_tofar_2.mpg,rock,tofar,2,A,_,.mpg
rock_tofar_3.mpg,rock,tofar,3,A,_,.mpg
rock_tofar_8.mpg,rock,tofar,8,A,_,.mpg
rock_circle_1.mpg,rock,circle,1,A,_,.mpg
rock_circle_2.mpg,rock,circle,2,A,_,.mpg
rock_circle_3.mpg,rock,circle,3,A,_,.mpg
rock_circle_8.mpg,rock,circle,8,A,_,.mpg
rock_onto_1.mpg,rock,onto,1,A,_,.mpg
rock_onto_2.mpg,rock,onto,2,A,_,.mpg
rock_onto_3.mpg,rock,onto,3,A,_,.mpg
rock_onto_8.mpg,rock,onto,8,A,_,.mpg
sine_to_1.mpg,sine,to,1,A,_,.mpg
sine_to_2.mpg,sine,to,2,A,_,.mpg
sine_to_3.mpg,sine,to,3,A,_,.mpg
sine_to_8.mpg,sine,to,8,A,_,.mpg
sine_tofar_1.mpg,sine,tofar,1,A,_,.mpg
sine_tofar_2.mpg,sine,tofar,2,A,_,.mpg
sine_tofar_3.mpg,sine,tofar,3,A,_,.mpg
sine_tofar_8.mpg,sine,tofar,8,A,_,.mpg
sine_circle_1.mpg,sine,circle,1,A,_,.mpg
sine_circle_2.mpg,sine,circle,2,A,_,.mpg
sine_circle_3.mpg,sine,circle,3,A,_,.mpg
sine_circle_8.mpg,sine,circle,8,A,_,.mpg
sine_onto_1.mpg,sine,onto,1,A,_,.mpg
sine_onto_2.mpg,sine,onto,2,A,_,.mpg
sine_onto_3.mpg,sine,onto,3,A,_,.mpg
sine_onto_8.mpg,sine,onto,8,A,_,.mpg
wheelie_to_1.mpg,wheelie,to,1,A,_,.mpg
wheelie_to_2.mpg,wheelie,to,2,A,_,.mpg
wheelie_to_3.mpg,wheelie,to,3,A,_,.mpg
wheelie_to_8.mpg,wheelie,to,8,A,_,.mpg
wheelie_tofar_1.mpg,wheelie,tofar,1,A,_,.mpg
wheelie_tofar_2.mpg,wheelie,tofar,2,A,_,.mpg
wheelie_tofar_3.mpg,wheelie,tofar,3,A,_,.mpg
wheelie_tofar_8.mpg,wheelie,tofar,8,A,_,.mpg
wheelie_circle_1.mpg,wheelie,circle,1,A,_,.mpg
wheelie_circle_2.mpg,wheelie,circle,2,A,_,.mpg
wheelie_circle_3.mpg,wheelie,circle,3,A,_,.mpg
wheelie_circle_8.mpg,wheelie,circle,8,A,_,.mpg
wheelie_onto_1.mpg,wheelie,onto,1,A,_,.mpg
wheelie_onto_2.mpg,wheelie,onto,2,A,_,.mpg
wheelie_onto_3.mpg,wheelie,onto,3,A,_,.mpg
wheelie_onto_8.mpg,wheelie,onto,8,A,_,.mpg
halfrotate_past_4.mpg,halfrotate,past,4,B,_,.mpg
halfrotate_past_5.mpg,halfrotate,past,5,B,_,.mpg
halfrotate_past_6.mpg,halfrotate,past,6,B,_,.mpg
halfrotate_past_7.mpg,halfrotate,past,7,B,_,.mpg
halfrotate_under_4.mpg,halfrotate,under,4,B,_,.mpg
halfrotate_under_5.mpg,halfrotate,under,5,B,_,.mpg
halfrotate_under_6.mpg,halfrotate,under,6,B,_,.mpg
halfrotate_under_7.mpg,halfrotate,under,7,B,_,.mpg
halfrotate_behind_4.mpg,halfrotate,behind,4,B,_,.mpg
halfrotate_behind_5.mpg,halfrotate,behind,5,B,_,.mpg
halfrotate_behind_6.mpg,halfrotate,behind,6,B,_,.mpg
halfrotate_behind_7.mpg,halfrotate,behind,7,B,_,.mpg
halfrotate_underfar_4.mpg,halfrotate,underfar,4,B,_,.mpg
halfrotate_underfar_5.mpg,halfrotate,underfar,5,B,_,.mpg
halfrotate_underfar_6.mpg,halfrotate,underfar,6,B,_,.mpg
halfrotate_underfar_7.mpg,halfrotate,underfar,7,B,_,.mpg
bounce_past_4.mpg,bounce,past,4,B,_,.mpg
bounce_past_5.mpg,bounce,past,5,B,_,.mpg
bounce_past_6.mpg,bounce,past,6,B,_,.mpg
bounce_past_7.mpg,bounce,past,7,B,_,.mpg
bounce_under_4.mpg,bounce,under,4,B,_,.mpg
bounce_under_5.mpg,bounce,under,5,B,_,.mpg
bounce_under_6.mpg,bounce,under,6,B,_,.mpg
bounce_under_7.mpg,bounce,under,7,B,_,.mpg
bounce_behind_4.mpg,bounce,behind,4,B,_,.mpg
bounce_behind_5.mpg,bounce,behind,5,B,_,.mpg
bounce_behind_6.mpg,bounce,behind,6,B,_,.mpg
bounce_behind_7.mpg,bounce,behind,7,B,_,.mpg
bounce_underfar_4.mpg,bounce,underfar,4,B,_,.mpg
bounce_underfar_5.mpg,bounce,underfar,5,B,_,.mpg
bounce_underfar_6.mpg,bounce,underfar,6,B,_,.mpg
bounce_underfar_7.mpg,bounce,underfar,7,B,_,.mpg
vibrate_past_4.mpg,vibrate,past,4,B,_,.mpg
vibrate_past_5.mpg,vibrate,past,5,B,_,.mpg
vibrate_past_6.mpg,vibrate,past,6,B,_,.mpg
