trial_type,measured_onset,perfect_onset,trialnum
fix,129860.527582,129870.027582, 
realTrial,129876.969590,129876.527582, 1
realTrial,129883.106046,129883.027582, 2
realTrial,129889.531434,129889.527582, 3
realTrial,129896.031268,129896.027582, 4
realTrial,129902.531965,129902.527582, 5
realTrial,129909.032782,129909.027582, 6
realTrial,129915.531278,129915.527582, 7
realTrial,129922.030662,129922.027582, 8
realTrial,129928.531906,129928.527582, 9
realTrial,129935.032553,129935.027582, 10
realTrial,129941.530731,129941.527582, 11
realTrial,129948.030482,129948.027582, 12
realTrial,129954.530561,129954.527582, 13
realTrial,129961.030122,129961.027582, 14
realTrial,129967.531209,129967.527582, 15
realTrial,129974.030795,129974.027582, 16
realTrial,129980.531421,129980.527582, 17
realTrial,129987.031526,129987.027582, 18
realTrial,129993.532221,129993.527582, 19
realTrial,130000.030692,130000.027582, 20
realTrial,130006.531706,130006.527582, 21
realTrial,130013.030636,130013.027582, 22
realTrial,130019.530566,130019.527582, 23
realTrial,130026.032715,130026.027582, 24
fix,130032.528407,130032.527582, 
realTrial,130048.636440,130048.527582, 25
realTrial,130055.032077,130055.027582, 26
realTrial,130061.530516,130061.527582, 27
realTrial,130068.031202,130068.027582, 28
realTrial,130074.530573,130074.527582, 29
realTrial,130081.030715,130081.027582, 30
realTrial,130087.532175,130087.527582, 31
realTrial,130094.030895,130094.027582, 32
realTrial,130100.530831,130100.527582, 33
realTrial,130107.031793,130107.027582, 34
realTrial,130113.531358,130113.527582, 35
realTrial,130120.030056,130120.027582, 36
realTrial,130126.530742,130126.527582, 37
realTrial,130133.030618,130133.027582, 38
realTrial,130139.531639,130139.527582, 39
realTrial,130146.030715,130146.027582, 40
realTrial,130152.531510,130152.527582, 41
realTrial,130159.029184,130159.027582, 42
realTrial,130165.529798,130165.527582, 43
realTrial,130172.029159,130172.027582, 44
realTrial,130178.531284,130178.527582, 45
realTrial,130185.031097,130185.027582, 46
realTrial,130191.529690,130191.527582, 47
realTrial,130198.029895,130198.027582, 48
fix,130204.527698,130204.527582, 
