file,manner,path,agent,itemset,blocktype,blocknum
stopstart_under_7.mp4,stopstart,under,7,X,P,1
halfrotate_under_4.mp4,halfrotate,under,4,X,P,1
bounce_under_5.mp4,bounce,under,5,X,P,1
vibrate_under_6.mp4,vibrate,under,6,X,P,1
sine_to_1.mp4,sine,to,1,W,A,2
wheelie_onto_1.mp4,wheelie,onto,1,W,A,2
rotate_tofar_1.mp4,rotate,tofar,1,W,A,2
rock_circle_1.mp4,rock,circle,1,W,A,2
halfrotate_past_7.mp4,halfrotate,past,7,X,D,3
vibrate_under_4.mp4,vibrate,under,4,X,D,3
stopstart_behind_6.mp4,stopstart,behind,6,X,D,3
bounce_underfar_5.mp4,bounce,underfar,5,X,D,3
none_loc3_1.mp4,none,loc3,1,Y,C,4
none_loc4_3.mp4,none,loc4,3,Y,C,4
none_loc1_2.mp4,none,loc1,2,Y,C,4
none_loc2_8.mp4,none,loc2,8,Y,C,4
halfrotate_past_4.mp4,halfrotate,past,4,X,S,5
halfrotate_past_4.mp4,halfrotate,past,4,X,S,5
halfrotate_past_4.mp4,halfrotate,past,4,X,S,5
halfrotate_past_4.mp4,halfrotate,past,4,X,S,5
wheelie_circle_1.mp4,wheelie,circle,1,W,M,6
wheelie_to_2.mp4,wheelie,to,2,W,M,6
wheelie_tofar_3.mp4,wheelie,tofar,3,W,M,6
wheelie_onto_8.mp4,wheelie,onto,8,W,M,6
stopstart_behind_5.mp4,stopstart,behind,5,X,M,7
stopstart_past_4.mp4,stopstart,past,4,X,M,7
stopstart_under_6.mp4,stopstart,under,6,X,M,7
stopstart_underfar_7.mp4,stopstart,underfar,7,X,M,7
rotate_tofar_3.mp4,rotate,tofar,3,W,S,8
rotate_tofar_3.mp4,rotate,tofar,3,W,S,8
rotate_tofar_3.mp4,rotate,tofar,3,W,S,8
rotate_tofar_3.mp4,rotate,tofar,3,W,S,8
none_loc8_5.mp4,none,loc8,5,Z,C,9
none_loc6_6.mp4,none,loc6,6,Z,C,9
none_loc7_4.mp4,none,loc7,4,Z,C,9
none_loc5_7.mp4,none,loc5,7,Z,C,9
wheelie_onto_3.mp4,wheelie,onto,3,W,D,10
rock_to_2.mp4,rock,to,2,W,D,10
sine_tofar_1.mp4,sine,tofar,1,W,D,10
rotate_circle_8.mp4,rotate,circle,8,W,D,10
stopstart_underfar_6.mp4,stopstart,underfar,6,X,A,11
vibrate_past_6.mp4,vibrate,past,6,X,A,11
halfrotate_under_6.mp4,halfrotate,under,6,X,A,11
bounce_behind_6.mp4,bounce,behind,6,X,A,11
wheelie_circle_2.mp4,wheelie,circle,2,W,P,12
rotate_circle_1.mp4,rotate,circle,1,W,P,12
rock_circle_3.mp4,rock,circle,3,W,P,12
sine_circle_8.mp4,sine,circle,8,W,P,12
