trial_type,measured_onset,perfect_onset,trialnum
fix,184920.471302,184929.971302, 
realTrial,184936.927484,184936.471302, 1
realTrial,184943.088803,184942.971302, 2
realTrial,184949.475842,184949.471302, 3
realTrial,184955.975104,184955.971302, 4
realTrial,184962.475182,184962.471302, 5
realTrial,184968.976361,184968.971302, 6
realTrial,184975.475411,184975.471302, 7
realTrial,184981.973412,184981.971302, 8
realTrial,184988.479908,184988.471302, 9
realTrial,184994.974174,184994.971302, 10
realTrial,185001.476733,185001.471302, 11
realTrial,185007.975316,185007.971302, 12
realTrial,185014.475517,185014.471302, 13
realTrial,185020.975053,185020.971302, 14
realTrial,185027.475670,185027.471302, 15
realTrial,185033.975699,185033.971302, 16
realTrial,185040.473756,185040.471302, 17
realTrial,185046.975670,185046.971302, 18
realTrial,185053.474430,185053.471302, 19
realTrial,185059.976228,185059.971302, 20
realTrial,185066.476137,185066.471302, 21
realTrial,185072.976645,185072.971302, 22
realTrial,185079.475736,185079.471302, 23
realTrial,185085.975229,185085.971302, 24
fix,185092.472283,185092.471302, 
realTrial,185108.582752,185108.471302, 25
realTrial,185114.976402,185114.971302, 26
realTrial,185121.474531,185121.471302, 27
realTrial,185127.974737,185127.971302, 28
realTrial,185134.475068,185134.471302, 29
realTrial,185140.975477,185140.971302, 30
realTrial,185147.475786,185147.471302, 31
realTrial,185153.975138,185153.971302, 32
realTrial,185160.475392,185160.471302, 33
realTrial,185166.975545,185166.971302, 34
realTrial,185173.475167,185173.471302, 35
realTrial,185179.975742,185179.971302, 36
realTrial,185186.474514,185186.471302, 37
realTrial,185192.974436,185192.971302, 38
realTrial,185199.474849,185199.471302, 39
realTrial,185205.974926,185205.971302, 40
realTrial,185212.474956,185212.471302, 41
realTrial,185218.974783,185218.971302, 42
realTrial,185225.475388,185225.471302, 43
realTrial,185231.976083,185231.971302, 44
realTrial,185238.475027,185238.471302, 45
realTrial,185244.975146,185244.971302, 46
realTrial,185251.475027,185251.471302, 47
realTrial,185257.975978,185257.971302, 48
fix,185264.471926,185264.471302, 
