trial_type,onset,perfect
fix,61387.157076,61396.157076
movie,61403.350179,61403.157076
movie,61410.159605,61410.157076
movie,61417.160972,61417.157076
movie,61424.161229,61424.157076
movie,61431.159547,61431.157076
movie,61438.160445,61438.157076
movie,61445.160355,61445.157076
movie,61452.161426,61452.157076
movie,61459.161147,61459.157076
movie,61466.160374,61466.157076
movie,61473.161191,61473.157076
movie,61480.161773,61480.157076
movie,,
 ,,
 ,,
fix,,
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
fix,,
