trial_type,measured_onset,perfect_onset,trialnum
fix,87428.088764,87437.588764, 
realTrial,87444.172014,87444.088764, 1
realTrial,87450.590136,87450.588764, 2
realTrial,87457.090235,87457.088764, 3
realTrial,87463.590041,87463.588764, 4
realTrial,87470.090133,87470.088764, 5
realTrial,87476.590064,87476.588764, 6
realTrial,87483.090371,87483.088764, 7
realTrial,87489.590018,87489.588764, 8
realTrial,87496.090376,87496.088764, 9
realTrial,87502.589960,87502.588764, 10
realTrial,87509.090166,87509.088764, 11
realTrial,87515.590014,87515.588764, 12
realTrial,87522.090211,87522.088764, 13
realTrial,87528.590376,87528.588764, 14
realTrial,87535.090339,87535.088764, 15
realTrial,87541.590294,87541.588764, 16
realTrial,87548.090466,87548.088764, 17
realTrial,87554.590024,87554.588764, 18
realTrial,87561.090012,87561.088764, 19
realTrial,87567.589976,87567.588764, 20
realTrial,87574.090284,87574.088764, 21
realTrial,87580.590347,87580.588764, 22
realTrial,87587.090372,87587.088764, 23
realTrial,87593.590435,87593.588764, 24
fix,87600.089072,87600.088764, 
realTrial,87616.162180,87616.088764, 25
realTrial,87622.590015,87622.588764, 26
realTrial,87629.090051,87629.088764, 27
realTrial,87635.590431,87635.588764, 28
realTrial,87642.090159,87642.088764, 29
realTrial,87648.590072,87648.588764, 30
realTrial,87655.090301,87655.088764, 31
realTrial,87661.590402,87661.588764, 32
realTrial,87668.090275,87668.088764, 33
realTrial,87674.590443,87674.588764, 34
realTrial,87681.090296,87681.088764, 35
realTrial,87687.590026,87687.588764, 36
realTrial,87694.090012,87694.088764, 37
realTrial,87700.590044,87700.588764, 38
realTrial,87707.090466,87707.088764, 39
realTrial,87713.590366,87713.588764, 40
realTrial,87720.090262,87720.088764, 41
realTrial,87726.590035,87726.588764, 42
realTrial,87733.090039,87733.088764, 43
realTrial,87739.590007,87739.588764, 44
realTrial,87746.090180,87746.088764, 45
realTrial,87752.589967,87752.588764, 46
realTrial,87759.089995,87759.088764, 47
realTrial,87765.590013,87765.588764, 48
fix,87772.089076,87772.088764, 
