trial_type,measured_onset,perfect_onset,trialnum
fix,101777.321728,101786.821728, 
realTrial,101793.434008,101793.321728, 1
realTrial,101799.825546,101799.821728, 2
realTrial,101806.323347,101806.321728, 3
realTrial,101812.823127,101812.821728, 4
realTrial,101819.324236,101819.321728, 5
realTrial,101825.823427,101825.821728, 6
realTrial,101832.323228,101832.321728, 7
realTrial,101838.823377,101838.821728, 8
realTrial,101845.323470,101845.321728, 9
realTrial,101851.823172,101851.821728, 10
realTrial,101858.323047,101858.321728, 11
realTrial,101864.823321,101864.821728, 12
realTrial,101871.323315,101871.321728, 13
realTrial,101877.823064,101877.821728, 14
realTrial,101884.322932,101884.321728, 15
realTrial,101890.823121,101890.821728, 16
realTrial,101897.323028,101897.321728, 17
realTrial,101903.823273,101903.821728, 18
realTrial,101910.323046,101910.321728, 19
realTrial,101916.823315,101916.821728, 20
realTrial,101923.323187,101923.321728, 21
realTrial,101929.823400,101929.821728, 22
realTrial,101936.323341,101936.321728, 23
realTrial,101942.823097,101942.821728, 24
fix,101949.322467,101949.321728, 
realTrial,101965.421621,101965.321728, 25
realTrial,101971.824475,101971.821728, 26
realTrial,101978.323326,101978.321728, 27
realTrial,101984.823200,101984.821728, 28
realTrial,101991.323032,101991.321728, 29
realTrial,101997.823012,101997.821728, 30
realTrial,102004.323113,102004.321728, 31
realTrial,102010.822993,102010.821728, 32
realTrial,102017.323026,102017.321728, 33
realTrial,102023.823430,102023.821728, 34
realTrial,102030.323328,102030.321728, 35
realTrial,102036.823392,102036.821728, 36
realTrial,102043.323315,102043.321728, 37
realTrial,102049.823275,102049.821728, 38
realTrial,102056.323025,102056.321728, 39
realTrial,102062.823257,102062.821728, 40
realTrial,102069.323096,102069.321728, 41
realTrial,102075.823175,102075.821728, 42
realTrial,102082.323052,102082.321728, 43
realTrial,102088.823048,102088.821728, 44
realTrial,102095.323411,102095.321728, 45
realTrial,102101.823771,102101.821728, 46
realTrial,102108.323097,102108.321728, 47
realTrial,102114.823260,102114.821728, 48
fix,102121.321798,102121.321728, 
