trial_type,measured_onset,perfect_onset,trialnum
fix,79929.305800,79938.805800, 
realTrial,79945.757026,79945.305800, 1
realTrial,79951.843586,79951.805800, 2
realTrial,79958.307863,79958.305800, 3
realTrial,79964.807020,79964.805800, 4
realTrial,79971.307296,79971.305800, 5
realTrial,79977.807332,79977.805800, 6
realTrial,79984.307382,79984.305800, 7
realTrial,79990.807332,79990.805800, 8
realTrial,79997.307408,79997.305800, 9
realTrial,80003.807155,80003.805800, 10
realTrial,80010.307019,80010.305800, 11
realTrial,80016.807437,80016.805800, 12
realTrial,80023.306988,80023.305800, 13
realTrial,80029.807307,80029.805800, 14
realTrial,80036.307090,80036.305800, 15
realTrial,80042.807311,80042.805800, 16
realTrial,80049.307058,80049.305800, 17
realTrial,80055.807341,80055.805800, 18
realTrial,80062.307433,80062.305800, 19
realTrial,80068.807012,80068.805800, 20
realTrial,80075.306978,80075.305800, 21
realTrial,80081.807032,80081.805800, 22
realTrial,80088.307268,80088.305800, 23
realTrial,80094.807370,80094.805800, 24
fix,80101.306553,80101.305800, 
realTrial,80117.386860,80117.305800, 25
realTrial,80123.807248,80123.805800, 26
realTrial,80130.307345,80130.305800, 27
realTrial,80136.807073,80136.805800, 28
realTrial,80143.307130,80143.305800, 29
realTrial,80149.807238,80149.805800, 30
realTrial,80156.307076,80156.305800, 31
realTrial,80162.807235,80162.805800, 32
realTrial,80169.307059,80169.305800, 33
realTrial,80175.807429,80175.805800, 34
realTrial,80182.307144,80182.305800, 35
realTrial,80188.807326,80188.805800, 36
realTrial,80195.307187,80195.305800, 37
realTrial,80201.807439,80201.805800, 38
realTrial,80208.307177,80208.305800, 39
realTrial,80214.807366,80214.805800, 40
realTrial,80221.307033,80221.305800, 41
realTrial,80227.806938,80227.805800, 42
realTrial,80234.307310,80234.305800, 43
realTrial,80240.807311,80240.805800, 44
realTrial,80247.307154,80247.305800, 45
realTrial,80253.807070,80253.805800, 46
realTrial,80260.307067,80260.305800, 47
realTrial,80266.807085,80266.805800, 48
fix,80273.305821,80273.305800, 
