file,manner,path,agent,itemset,blocktype,blocknum, trialnum
sine_onto_2.mp4,sine,onto,2,W,D,1, 1
wheelie_to_3.mp4,wheelie,to,3,W,D,1, 2
rotate_tofar_8.mp4,rotate,tofar,8,W,D,1, 3
rock_circle_1.mp4,rock,circle,1,W,D,1, 4
none_control7_5.mp4,none,control7,5,Z,C,2, 5
none_control6_7.mp4,none,control6,7,Z,C,2, 6
none_control8_4.mp4,none,control8,4,Z,C,2, 7
none_control5_6.mp4,none,control5,6,Z,C,2, 8
rotate_to_2.mp4,rotate,to,2,W,S,3, 9
rotate_to_2.mp4,rotate,to,2,W,S,3, 10
rotate_to_2.mp4,rotate,to,2,W,S,3, 11
rotate_to_2.mp4,rotate,to,2,W,S,3, 12
halfrotate_behind_6.mp4,halfrotate,behind,6,X,M,4, 13
halfrotate_past_4.mp4,halfrotate,past,4,X,M,4, 14
halfrotate_under_5.mp4,halfrotate,under,5,X,M,4, 15
halfrotate_underfar_7.mp4,halfrotate,underfar,7,X,M,4, 16
rotate_tofar_1.mp4,rotate,tofar,1,W,P,5, 17
rock_tofar_2.mp4,rock,tofar,2,W,P,5, 18
sine_tofar_3.mp4,sine,tofar,3,W,P,5, 19
wheelie_tofar_8.mp4,wheelie,tofar,8,W,P,5, 20
bounce_under_5.mp4,bounce,under,5,X,A,6, 21
vibrate_past_5.mp4,vibrate,past,5,X,A,6, 22
stopstart_behind_5.mp4,stopstart,behind,5,X,A,6, 23
halfrotate_underfar_5.mp4,halfrotate,underfar,5,X,A,6, 24
sine_to_3.mp4,sine,to,3,W,A,7, 25
rock_circle_3.mp4,rock,circle,3,W,A,7, 26
wheelie_tofar_3.mp4,wheelie,tofar,3,W,A,7, 27
rotate_onto_3.mp4,rotate,onto,3,W,A,7, 28
halfrotate_under_7.mp4,halfrotate,under,7,X,P,8, 29
vibrate_under_4.mp4,vibrate,under,4,X,P,8, 30
stopstart_under_5.mp4,stopstart,under,5,X,P,8, 31
bounce_under_6.mp4,bounce,under,6,X,P,8, 32
wheelie_to_1.mp4,wheelie,to,1,W,M,9, 33
wheelie_tofar_2.mp4,wheelie,tofar,2,W,M,9, 34
wheelie_circle_3.mp4,wheelie,circle,3,W,M,9, 35
wheelie_onto_8.mp4,wheelie,onto,8,W,M,9, 36
vibrate_past_6.mp4,vibrate,past,6,X,S,10, 37
vibrate_past_6.mp4,vibrate,past,6,X,S,10, 38
vibrate_past_6.mp4,vibrate,past,6,X,S,10, 39
vibrate_past_6.mp4,vibrate,past,6,X,S,10, 40
none_control3_8.mp4,none,control3,8,Y,C,11, 41
none_control4_1.mp4,none,control4,1,Y,C,11, 42
none_control1_2.mp4,none,control1,2,Y,C,11, 43
none_control2_3.mp4,none,control2,3,Y,C,11, 44
stopstart_behind_7.mp4,stopstart,behind,7,X,D,12, 45
bounce_underfar_4.mp4,bounce,underfar,4,X,D,12, 46
vibrate_under_5.mp4,vibrate,under,5,X,D,12, 47
halfrotate_past_6.mp4,halfrotate,past,6,X,D,12, 48
