trial_type,onset
fix,4574.911335,4583.911335
movie,4590.967360,4590.911335
movie,4597.914169,4597.911335
movie,4604.914030,4604.911335
movie,4611.914225,4611.911335
movie,4618.913872,4618.911335
movie,4625.912926,4625.911335
audio,4632.911823,4632.911335
audio,4639.911387,4639.911335
audio,4646.911442,4646.911335
movie,4653.913830,4653.911335
movie,4660.913432,4660.911335
movie,4667.913460,4667.911335
movie,4674.913394,4674.911335
movie,4682.026892,4681.911335
movie,4688.913253,4688.911335
fix,4695.912051,4695.911335
movie,4711.961521,4711.911335
movie,4718.913492,4718.911335
movie,4725.913404,4725.911335
movie,4732.913172,4732.911335
movie,4739.913450,4739.911335
movie,4746.913113,4746.911335
audio,4753.911878,4753.911335
audio,4760.911657,4760.911335
audio,4767.911726,4767.911335
movie,4774.913809,4774.911335
movie,4781.913407,4781.911335
movie,4788.913956,4788.911335
movie,4795.913915,4795.911335
movie,4802.913797,4802.911335
movie,4809.913332,4809.911335
fix,4816.911771,4816.911335
