trial_type,onset
fix,162501.334730,162510.334730
movie,162517.736625,162517.334730
movie,162524.336952,162524.334730
movie,162531.336491,162531.334730
movie,162538.337299,162538.334730
movie,162545.337152,162545.334730
movie,162552.336839,162552.334730
movie,162559.336980,162559.334730
movie,162566.337478,162566.334730
movie,162573.336380,162573.334730
audio,162580.335025,162580.334730
audio,162587.335401,162587.334730
audio,162594.335236,162594.334730
movie,162601.336623,162601.334730
movie,162608.337133,162608.334730
movie,162615.336940,162615.334730
fix,162622.377959,162622.334730
movie,162638.436160,162638.334730
movie,162645.370979,162645.334730
movie,162652.336579,162652.334730
audio,162659.335220,162659.334730
audio,162666.335317,162666.334730
audio,162673.335174,162673.334730
movie,162680.336600,162680.334730
movie,162687.337314,162687.334730
movie,162694.336957,162694.334730
movie,162701.336839,162701.334730
movie,162708.336593,162708.334730
movie,162715.337032,162715.334730
movie,162722.336923,162722.334730
movie,162729.337100,162729.334730
movie,162736.337306,162736.334730
fix,162743.334839,162743.334730
