trial_type,onset
fix,17895.106862,17904.106862
movie,17911.237819,17911.106862
movie,17918.108826,17918.106862
movie,17925.109145,17925.106862
movie,17932.109267,17932.106862
movie,17939.109147,17939.106862
movie,17946.109172,17946.106862
movie,17953.108632,17953.106862
movie,17960.109230,17960.106862
movie,17967.108655,17967.106862
audio,17974.107140,17974.106862
audio,17981.107359,17981.106862
audio,17988.107069,17988.106862
movie,17995.109205,17995.106862
movie,18002.109199,18002.106862
movie,18009.108985,18009.106862
fix,18016.107383,18016.106862
movie,18032.240491,18032.106862
movie,18039.109472,18039.106862
movie,18046.108477,18046.106862
audio,18053.107155,18053.106862
audio,18060.106912,18060.106862
audio,18067.107232,18067.106862
movie,18074.109282,18074.106862
movie,18081.109252,18081.106862
movie,18088.109080,18088.106862
movie,18095.109151,18095.106862
movie,18102.109022,18102.106862
movie,18109.108566,18109.106862
movie,18116.109262,18116.106862
movie,18123.109410,18123.106862
movie,18130.109706,18130.106862
fix,18137.107365,18137.106862
