color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
red,77_G_ST_Bee_2_NA.ogv,77,G,ST,Bee,2,NA,5,A,3
orange,142_G_VS_Hood_3_NA.ogv,142,G,VS,Hood,3,NA,5,A,3
grey,107_G_SV_Mother_1_NA.ogv,107,G,SV,Mother,1,NA,5,A,3
yellow,08_G_CG_Frog_4_NF.ogv,8,G,CG,Frog,4,NF,5,B,3
blue,28_G_DS_Hood_1_NF.ogv,28,G,DS,Hood,1,NF,5,B,3
purple,58_G_MY_Bee_2_NF.ogv,58,G,MY,Bee,2,NF,5,B,3
green,50_NG_JH_XX_13_NA.ogv,50,NG,JH,XX,13,NA,5,C,3
orange,150_NG_VS_XX_19_NA.ogv,150,NG,VS,XX,19,NA,5,C,3
none,115_NG_TK_XX_2_NA.ogv,115,NG,TK,XX,2,NA,5,C,3
green,56_NG_JH_XX_19_NF.ogv,56,NG,JH,XX,19,NF,5,D,3
red,86_NG_ST_XX_11_NF.ogv,86,NG,ST,XX,11,NF,5,D,3
yellow,01_NG_CG_XX_1_NF.ogv,1,NG,CG,XX,1,NF,5,D,3
orange,134_G_VS_Bee_3.ogg,134,G,VS,Bee,3,audio,5,E,3
purple,64_G_MY_Frog_3.ogg,64,G,MY,Frog,3,audio,5,E,3
yellow,19_G_CG_Princess_3.ogg,19,G,CG,Princess,3,audio,5,E,3
none,119_G_TK_Frog_2.ogg,119,G,TK,Frog,2,audio,5,E,3
green,39_G_JH_Bee_2.ogg,39,G,JH,Bee,2,audio,5,E,3
grey,104_G_SV_Hood_2.ogg,104,G,SV,Hood,2,audio,5,E,3
blue,21_NG_DS_XX_2_NF.ogv,21,NG,DS,XX,2,NF,5,D,3
none,126_NG_TK_XX_13_NF.ogv,126,NG,TK,XX,13,NF,5,D,3
grey,96_NG_SV_XX_2_NF.ogv,96,NG,SV,XX,2,NF,5,D,3
red,85_NG_ST_XX_10_NA.ogv,85,NG,ST,XX,10,NA,5,C,3
grey,105_NG_SV_XX_11_NA.ogv,105,NG,SV,XX,11,NA,5,C,3
blue,30_NG_DS_XX_11_NA.ogv,30,NG,DS,XX,11,NA,5,C,3
green,53_G_JH_Mother_4_NF.ogv,53,G,JH,Mother,4,NF,5,B,3
orange,143_G_VS_Hood_4_NF.ogv,143,G,VS,Hood,4,NF,5,B,3
grey,98_G_SV_Bee_4_NF.ogv,98,G,SV,Bee,4,NF,5,B,3
yellow,07_G_CG_Frog_3_NA.ogv,7,G,CG,Frog,3,NA,5,A,3
blue,37_G_DS_Princess_3_NA.ogv,37,G,DS,Princess,3,NA,5,A,3
purple,72_G_MY_Mother_2_NA.ogv,72,G,MY,Mother,2,NA,5,A,3
