trial_type,onset
fix,295247.337727,295256.337727
audio,295263.386489,295263.337727
audio,295270.338306,295270.337727
audio,295277.338261,295277.337727
movie,295284.369853,295284.337727
movie,295291.340174,295291.337727
movie,295298.339713,295298.337727
movie,295305.339798,295305.337727
movie,295312.339691,295312.337727
movie,295319.339349,295319.337727
movie,295326.339939,295326.337727
movie,295333.339954,295333.337727
movie,295340.340026,295340.337727
movie,295347.339163,295347.337727
movie,295354.339850,295354.337727
movie,295361.339530,295361.337727
fix,295368.338292,295368.337727
movie,295384.765322,295384.337727
movie,295391.339755,295391.337727
movie,295398.339803,295398.337727
movie,295405.340015,295405.337727
movie,295412.340167,295412.337727
movie,295419.339742,295419.337727
movie,295426.340444,295426.337727
movie,295433.340400,295433.337727
movie,295440.339884,295440.337727
movie,295447.339722,295447.337727
movie,295454.339685,295454.337727
movie,295461.339870,295461.337727
audio,295468.338054,295468.337727
audio,295475.338006,295475.337727
audio,295482.338245,295482.337727
fix,295489.337938,295489.337727
