color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
red,77_G_ST_Bee_2_NA.ogv,77,G,ST,Bee,2,NA,5,A,1
purple,67_G_MY_Hood_1_NA.ogv,67,G,MY,Hood,1,NA,5,A,1
orange,147_G_VS_Mother_4_NA.ogv,147,G,VS,Mother,4,NA,5,A,1
green,43_G_JH_Frog_2_NF.ogv,43,G,JH,Frog,2,NF,5,B,1
grey,98_G_SV_Bee_4_NF.ogv,98,G,SV,Bee,4,NF,5,B,1
orange,143_G_VS_Hood_4_NF.ogv,143,G,VS,Hood,4,NF,5,B,1
red,90_NG_ST_XX_15_NA.ogv,90,NG,ST,XX,15,NA,5,C,1
blue,25_NG_DS_XX_6_NA.ogv,25,NG,DS,XX,6,NA,5,C,1
none,130_NG_TK_XX_17_NA.ogv,130,NG,TK,XX,17,NA,5,C,1
yellow,11_NG_CG_XX_11_NF.ogv,11,NG,CG,XX,11,NF,5,D,1
none,126_NG_TK_XX_13_NF.ogv,126,NG,TK,XX,13,NF,5,D,1
grey,101_NG_SV_XX_7_NF.ogv,101,NG,SV,XX,7,NF,5,D,1
green,54_G_JH_Princess_1.ogg,54,G,JH,Princess,1,audio,5,E,1
red,89_G_ST_Mother_2.ogg,89,G,ST,Mother,2,audio,5,E,1
none,119_G_TK_Frog_2.ogg,119,G,TK,Frog,2,audio,5,E,1
purple,59_G_MY_Bee_3.ogg,59,G,MY,Bee,3,audio,5,E,1
yellow,19_G_CG_Princess_3.ogg,19,G,CG,Princess,3,audio,5,E,1
orange,144_G_VS_Mother_1.ogg,144,G,VS,Mother,1,audio,5,E,1
blue,21_NG_DS_XX_2_NF.ogv,21,NG,DS,XX,2,NF,5,D,1
orange,146_NG_VS_XX_15_NF.ogv,146,NG,VS,XX,15,NF,5,D,1
red,91_NG_ST_XX_16_NF.ogv,91,NG,ST,XX,16,NF,5,D,1
yellow,05_NG_CG_XX_5_NA.ogv,5,NG,CG,XX,5,NA,5,C,1
purple,70_NG_MY_XX_14_NA.ogv,70,NG,MY,XX,14,NA,5,C,1
grey,105_NG_SV_XX_11_NA.ogv,105,NG,SV,XX,11,NA,5,C,1
yellow,18_G_CG_Princess_2_NF.ogv,18,G,CG,Princess,2,NF,5,B,1
purple,73_G_MY_Mother_3_NF.ogv,73,G,MY,Mother,3,NF,5,B,1
none,123_G_TK_Hood_2_NF.ogv,123,G,TK,Hood,2,NF,5,B,1
blue,27_G_DS_Frog_4_NA.ogv,27,G,DS,Frog,4,NA,5,A,1
none,127_G_TK_Mother_2_NA.ogv,127,G,TK,Mother,2,NA,5,A,1
yellow,12_G_CG_Hood_4_NA.ogv,12,G,CG,Hood,4,NA,5,A,1
