trial_type,onset
fix,356425.787238,356434.787238
movie,356441.911854,356441.787238
movie,356448.789682,356448.787238
movie,356455.789738,356455.787238
movie,356462.789879,356462.787238
movie,356469.789750,356469.787238
movie,356476.790041,356476.787238
movie,356483.789870,356483.787238
movie,356490.789656,356490.787238
movie,356497.789628,356497.787238
movie,356504.788998,356504.787238
movie,356511.789450,356511.787238
movie,356518.790078,356518.787238
audio,356525.788258,356525.787238
audio,356532.787567,356532.787238
audio,356539.787717,356539.787238
fix,356546.787665,356546.787238
audio,356562.809663,356562.787238
audio,356569.787274,356569.787238
audio,356576.787529,356576.787238
movie,356583.788880,356583.787238
movie,356590.789790,356590.787238
movie,356597.789025,356597.787238
movie,356604.789610,356604.787238
movie,356611.789309,356611.787238
movie,356618.789049,356618.787238
movie,356625.789021,356625.787238
movie,356632.789660,356632.787238
movie,356639.789449,356639.787238
movie,356646.789509,356646.787238
movie,356653.789617,356653.787238
movie,356660.789314,356660.787238
fix,356667.787900,356667.787238
