trial_type,onset
fix,168511.282605,168520.282605
movie,168527.817968,168527.282605
movie,168534.285527,168534.282605
movie,168541.284735,168541.282605
movie,168548.284472,168548.282605
movie,168555.284964,168555.282605
movie,168562.285467,168562.282605
movie,168569.284609,168569.282605
movie,168576.284666,168576.282605
movie,168583.284463,168583.282605
audio,168590.283196,168590.282605
audio,168597.283193,168597.282605
audio,168604.282788,168604.282605
movie,168611.285466,168611.282605
movie,168618.284793,168618.282605
movie,168625.284833,168625.282605
fix,168632.283044,168632.282605
movie,168648.381818,168648.282605
movie,168655.284461,168655.282605
movie,168662.284505,168662.282605
audio,168669.282856,168669.282605
audio,168676.282919,168676.282605
audio,168683.283021,168683.282605
movie,168690.284436,168690.282605
movie,168697.284904,168697.282605
movie,168704.284962,168704.282605
movie,168711.284266,168711.282605
movie,168718.285316,168718.282605
movie,168725.284367,168725.282605
movie,168732.284252,168732.282605
movie,168739.284883,168739.282605
movie,168746.284901,168746.282605
fix,168753.283046,168753.282605
