trial_type,onset
fix,17584.129040,17593.129040
movie,17600.308666,17600.129040
movie,17607.132145,17607.129040
movie,17614.130950,17614.129040
movie,17621.131564,17621.129040
movie,17628.130874,17628.129040
movie,17635.131235,17635.129040
movie,17642.131794,17642.129040
movie,17649.131738,17649.129040
movie,17656.131118,17656.129040
movie,17663.131209,17663.129040
movie,17670.131321,17670.129040
movie,17677.131856,17677.129040
audio,17684.130004,17684.129040
audio,17691.129346,17691.129040
audio,17698.129143,17698.129040
fix,17705.129548,17705.129040
audio,17721.167985,17721.129040
audio,17728.129625,17728.129040
audio,17735.129294,17735.129040
movie,17742.131420,17742.129040
movie,17749.130929,17749.129040
movie,17756.131221,17756.129040
movie,17763.131523,17763.129040
movie,17770.131675,17770.129040
movie,17777.130651,17777.129040
movie,17784.130786,17784.129040
movie,17791.131332,17791.129040
movie,17798.131551,17798.129040
movie,17805.131305,17805.129040
movie,17812.131345,17812.129040
movie,17819.131077,17819.129040
fix,17826.129407,17826.129040
