trial_type,onset
fix,65436.605355,65445.605355
movie,65452.902166,65452.605355
movie,65459.608041,65459.605355
movie,65466.608033,65466.605355
movie,65473.607257,65473.605355
movie,65480.608003,65480.605355
movie,65487.607781,65487.605355
audio,65494.606011,65494.605355
audio,65501.605684,65501.605355
audio,65508.605419,65508.605355
movie,65515.607290,65515.605355
movie,65522.607080,65522.605355
movie,65529.607868,65529.605355
movie,65536.607653,65536.605355
movie,65543.607673,65543.605355
movie,65550.607586,65550.605355
fix,65557.606143,65557.605355
movie,65573.998803,65573.605355
movie,65580.607565,65580.605355
movie,65587.607824,65587.605355
movie,65594.607407,65594.605355
movie,65601.606899,65601.605355
movie,65608.607466,65608.605355
audio,65615.688385,65615.605355
audio,65622.605460,65622.605355
audio,65629.605882,65629.605355
movie,65636.608045,65636.605355
movie,65643.607009,65643.605355
movie,65650.607493,65650.605355
movie,65657.607414,65657.605355
movie,65664.607375,65664.605355
movie,65671.607330,65671.605355
fix,65678.605896,65678.605355
