trial_type,onset
fix,164776.030535,164785.030535
audio,164792.074413,164792.030535
audio,164799.030714,164799.030535
audio,164806.031173,164806.030535
movie,164813.033324,164813.030535
movie,164820.032644,164820.030535
movie,164827.032390,164827.030535
movie,164834.032838,164834.030535
movie,164841.033143,164841.030535
movie,164848.032736,164848.030535
movie,164855.033184,164855.030535
movie,164862.032949,164862.030535
movie,164869.032500,164869.030535
movie,164876.032765,164876.030535
movie,164883.032616,164883.030535
movie,164890.032991,164890.030535
fix,164897.030829,164897.030535
movie,164913.422913,164913.030535
movie,164920.032365,164920.030535
movie,164927.032505,164927.030535
movie,164934.032268,164934.030535
movie,164941.032546,164941.030535
movie,164948.032392,164948.030535
movie,164955.032614,164955.030535
movie,164962.032258,164962.030535
movie,164969.032545,164969.030535
movie,164976.032343,164976.030535
movie,164983.032593,164983.030535
movie,164990.032346,164990.030535
audio,164997.030742,164997.030535
audio,165004.030973,165004.030535
audio,165011.031022,165011.030535
fix,165018.030996,165018.030535
