color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
yellow,09_G_CG_Hood_1_NA.ogv,9,G,CG,Hood,1,NA,3,A,1
red,89_G_ST_Mother_2_NA.ogv,89,G,ST,Mother,2,NA,3,A,1
green,44_G_JH_Frog_3_NA.ogv,44,G,JH,Frog,3,NA,3,A,1
purple,75_G_MY_Mother_5_NF.ogv,75,G,MY,Mother,5,NF,3,B,1
orange,135_G_VS_Bee_4_NF.ogv,135,G,VS,Bee,4,NF,3,B,1
grey,100_G_SV_Frog_2_NF.ogv,100,G,SV,Frog,2,NF,3,B,1
orange,132_NG_VS_XX_1_NA.ogv,132,NG,VS,XX,1,NA,3,C,1
green,42_NG_JH_XX_5_NA.ogv,42,NG,JH,XX,5,NA,3,C,1
yellow,07_NG_CG_XX_7_NA.ogv,7,NG,CG,XX,7,NA,3,C,1
grey,113_NG_SV_XX_19_NF.ogv,113,NG,SV,XX,19,NF,3,D,1
yellow,03_NG_CG_XX_3_NF.ogv,3,NG,CG,XX,3,NF,3,D,1
red,93_NG_ST_XX_18_NF.ogv,93,NG,ST,XX,18,NF,3,D,1
red,81_G_ST_Frog_2.ogg,81,G,ST,Frog,2,audio,3,E,1
none,116_G_TK_Bee_3.ogg,116,G,TK,Bee,3,audio,3,E,1
purple,71_G_MY_Mother_1.ogg,71,G,MY,Mother,1,audio,3,E,1
blue,21_G_DS_Bee_2.ogg,21,G,DS,Bee,2,audio,3,E,1
yellow,11_G_CG_Hood_3.ogg,11,G,CG,Hood,3,audio,3,E,1
green,51_G_JH_Mother_2.ogg,51,G,JH,Mother,2,audio,3,E,1
blue,23_NG_DS_XX_4_NF.ogv,23,NG,DS,XX,4,NF,3,D,1
purple,63_NG_MY_XX_7_NF.ogv,63,NG,MY,XX,7,NF,3,D,1
green,43_NG_JH_XX_6_NF.ogv,43,NG,JH,XX,6,NF,3,D,1
blue,37_NG_DS_XX_18_NA.ogv,37,NG,DS,XX,18,NA,3,C,1
grey,107_NG_SV_XX_13_NA.ogv,107,NG,SV,XX,13,NA,3,C,1
purple,57_NG_MY_XX_1_NA.ogv,57,NG,MY,XX,1,NA,3,C,1
yellow,05_G_CG_Frog_1_NF.ogv,5,G,CG,Frog,1,NF,3,B,1
red,85_G_ST_Hood_2_NF.ogv,85,G,ST,Hood,2,NF,3,B,1
blue,35_G_DS_Princess_1_NF.ogv,35,G,DS,Princess,1,NF,3,B,1
orange,134_G_VS_Bee_3_NA.ogv,134,G,VS,Bee,3,NA,3,A,1
grey,99_G_SV_Frog_1_NA.ogv,99,G,SV,Frog,1,NA,3,A,1
none,129_G_TK_Mother_4_NA.ogv,129,G,TK,Mother,4,NA,3,A,1
