trial_type,onset
fix,178632.520489,178641.520489
audio,178648.558684,178648.520489
audio,178655.520863,178655.520489
audio,178662.521157,178662.520489
movie,178669.522900,178669.520489
movie,178676.522309,178676.520489
movie,178683.522891,178683.520489
movie,178690.522938,178690.520489
movie,178697.523470,178697.520489
movie,178704.522901,178704.520489
movie,178711.522741,178711.520489
movie,178718.522750,178718.520489
movie,178725.522937,178725.520489
movie,178732.523045,178732.520489
movie,178739.523689,178739.520489
movie,178746.522759,178746.520489
fix,178753.520703,178753.520489
movie,178769.644250,178769.520489
movie,178776.523049,178776.520489
movie,178783.522890,178783.520489
movie,178790.522951,178790.520489
movie,178797.522913,178797.520489
movie,178804.522875,178804.520489
movie,178811.523207,178811.520489
movie,178818.523363,178818.520489
movie,178825.523506,178825.520489
movie,178832.522564,178832.520489
movie,178839.522540,178839.520489
movie,178846.523250,178846.520489
audio,178853.520684,178853.520489
audio,178860.521075,178860.520489
audio,178867.521070,178867.520489
fix,178874.520571,178874.520489
