color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
blue,33_NG_DS_XX_14_NA.ogv,33,NG,DS,XX,14,NA,2,C,3
yellow,18_NG_CG_XX_18_NA.ogv,18,NG,CG,XX,18,NA,2,C,3
purple,58_NG_MY_XX_2_NA.ogv,58,NG,MY,XX,2,NA,2,C,3
orange,144_NG_VS_XX_13_NF.ogv,144,NG,VS,XX,13,NF,2,D,3
purple,64_NG_MY_XX_8_NF.ogv,64,NG,MY,XX,8,NF,2,D,3
none,129_NG_TK_XX_16_NF.ogv,129,NG,TK,XX,16,NF,2,D,3
red,82_G_ST_Frog_3.ogg,82,G,ST,Frog,3,audio,2,E,3
grey,97_G_SV_Bee_3.ogg,97,G,SV,Bee,3,audio,2,E,3
blue,37_G_DS_Princess_3.ogg,37,G,DS,Princess,3,audio,2,E,3
grey,105_G_SV_Hood_3_NA.ogv,105,G,SV,Hood,3,NA,2,A,3
blue,25_G_DS_Frog_2_NA.ogv,25,G,DS,Frog,2,NA,2,A,3
red,90_G_ST_Mother_3_NA.ogv,90,G,ST,Mother,3,NA,2,A,3
green,41_G_JH_Bee_4_NF.ogv,41,G,JH,Bee,4,NF,2,B,3
blue,31_G_DS_Hood_4_NF.ogv,31,G,DS,Hood,4,NF,2,B,3
grey,111_G_SV_Princess_1_NF.ogv,111,G,SV,Princess,1,NF,2,B,3
none,126_G_TK_Mother_1_NF.ogv,126,G,TK,Mother,1,NF,2,B,3
yellow,06_G_CG_Frog_2_NF.ogv,6,G,CG,Frog,2,NF,2,B,3
red,76_G_ST_Bee_1_NF.ogv,76,G,ST,Bee,1,NF,2,B,3
none,125_G_TK_Hood_4_NA.ogv,125,G,TK,Hood,4,NA,2,A,3
orange,135_G_VS_Bee_4_NA.ogv,135,G,VS,Bee,4,NA,2,A,3
purple,65_G_MY_Frog_4_NA.ogv,65,G,MY,Frog,4,NA,2,A,3
none,127_G_TK_Mother_2.ogg,127,G,TK,Mother,2,audio,2,E,3
purple,57_G_MY_Bee_1.ogg,57,G,MY,Bee,1,audio,2,E,3
yellow,12_G_CG_Hood_4.ogg,12,G,CG,Hood,4,audio,2,E,3
green,44_NG_JH_XX_7_NF.ogv,44,NG,JH,XX,7,NF,2,D,3
blue,29_NG_DS_XX_10_NF.ogv,29,NG,DS,XX,10,NF,2,D,3
yellow,14_NG_CG_XX_14_NF.ogv,14,NG,CG,XX,14,NF,2,D,3
red,93_NG_ST_XX_18_NA.ogv,93,NG,ST,XX,18,NA,2,C,3
none,118_NG_TK_XX_5_NA.ogv,118,NG,TK,XX,5,NA,2,C,3
green,48_NG_JH_XX_11_NA.ogv,48,NG,JH,XX,11,NA,2,C,3
