trial_type,onset
fix,349425.479225,349434.479225
audio,349441.517799,349441.479225
audio,349448.479281,349448.479225
audio,349455.479862,349455.479225
movie,349462.480893,349462.479225
movie,349469.480900,349469.479225
movie,349476.481631,349476.479225
movie,349483.480974,349483.479225
movie,349490.481299,349490.479225
movie,349497.481107,349497.479225
movie,349504.481040,349504.479225
movie,349511.481052,349511.479225
movie,349518.481364,349518.479225
movie,349525.481324,349525.479225
movie,349532.481302,349532.479225
movie,349539.481356,349539.479225
fix,349546.479706,349546.479225
movie,349562.884951,349562.479225
movie,349569.481528,349569.479225
movie,349576.481807,349576.479225
movie,349583.481158,349583.479225
movie,349590.481309,349590.479225
movie,349597.481512,349597.479225
movie,349604.481160,349604.479225
movie,349611.481044,349611.479225
movie,349618.481285,349618.479225
movie,349625.481362,349625.479225
movie,349632.481094,349632.479225
movie,349639.481861,349639.479225
audio,349646.479780,349646.479225
audio,349653.479586,349653.479225
audio,349660.479620,349660.479225
fix,349667.479743,349667.479225
