color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
grey,103_NG_SV_XX_9_NF.ogv,103,NG,SV,XX,9,NF,3,D,4
yellow,08_NG_CG_XX_8_NF.ogv,8,NG,CG,XX,8,NF,3,D,4
none,118_NG_TK_XX_5_NF.ogv,118,NG,TK,XX,5,NF,3,D,4
red,76_G_ST_Bee_1.ogg,76,G,ST,Bee,1,audio,3,E,4
green,56_G_JH_Princess_3.ogg,56,G,JH,Princess,3,audio,3,E,4
grey,101_G_SV_Frog_3.ogg,101,G,SV,Frog,3,audio,3,E,4
red,84_G_ST_Hood_1_NA.ogv,84,G,ST,Hood,1,NA,3,A,4
orange,139_G_VS_Frog_4_NA.ogv,139,G,VS,Frog,4,NA,3,A,4
yellow,14_G_CG_Mother_2_NA.ogv,14,G,CG,Mother,2,NA,3,A,4
purple,60_G_MY_Bee_4_NF.ogv,60,G,MY,Bee,4,NF,3,B,4
green,50_G_JH_Mother_1_NF.ogv,50,G,JH,Mother,1,NF,3,B,4
blue,30_G_DS_Hood_3_NF.ogv,30,G,DS,Hood,3,NF,3,B,4
orange,137_NG_VS_XX_6_NA.ogv,137,NG,VS,XX,6,NA,3,C,4
red,77_NG_ST_XX_2_NA.ogv,77,NG,ST,XX,2,NA,3,C,4
yellow,17_NG_CG_XX_17_NA.ogv,17,NG,CG,XX,17,NA,3,C,4
none,117_NG_TK_XX_4_NA.ogv,117,NG,TK,XX,4,NA,3,C,4
grey,112_NG_SV_XX_18_NA.ogv,112,NG,SV,XX,18,NA,3,C,4
blue,27_NG_DS_XX_8_NA.ogv,27,NG,DS,XX,8,NA,3,C,4
none,125_G_TK_Hood_4_NF.ogv,125,G,TK,Hood,4,NF,3,B,4
grey,95_G_SV_Bee_1_NF.ogv,95,G,SV,Bee,1,NF,3,B,4
red,80_G_ST_Frog_1_NF.ogv,80,G,ST,Frog,1,NF,3,B,4
blue,29_G_DS_Hood_2_NA.ogv,29,G,DS,Hood,2,NA,3,A,4
green,54_G_JH_Princess_1_NA.ogv,54,G,JH,Princess,1,NA,3,A,4
purple,74_G_MY_Mother_4_NA.ogv,74,G,MY,Mother,4,NA,3,A,4
blue,36_G_DS_Princess_2.ogg,36,G,DS,Princess,2,audio,3,E,4
orange,141_G_VS_Hood_2.ogg,141,G,VS,Hood,2,audio,3,E,4
purple,66_G_MY_Frog_5.ogg,66,G,MY,Frog,5,audio,3,E,4
purple,68_NG_MY_XX_12_NF.ogv,68,NG,MY,XX,12,NF,3,D,4
green,53_NG_JH_XX_16_NF.ogv,53,NG,JH,XX,16,NF,3,D,4
orange,133_NG_VS_XX_2_NF.ogv,133,NG,VS,XX,2,NF,3,D,4
