trial_type,onset
fix,318743.722236,318752.722236
movie,318760.113074,318759.722236
movie,318766.725161,318766.722236
movie,318773.724467,318773.722236
audio,318780.722329,318780.722236
audio,318787.722437,318787.722236
audio,318794.722335,318794.722236
movie,318801.724485,318801.722236
movie,318808.724423,318808.722236
movie,318815.724583,318815.722236
movie,318822.724579,318822.722236
movie,318829.724108,318829.722236
movie,318836.724765,318836.722236
movie,318843.724463,318843.722236
movie,318850.725086,318850.722236
movie,318857.724186,318857.722236
fix,318864.722346,318864.722236
movie,318881.091034,318880.722236
movie,318887.724490,318887.722236
movie,318894.724570,318894.722236
movie,318901.724367,318901.722236
movie,318908.724456,318908.722236
movie,318915.724902,318915.722236
movie,318922.724582,318922.722236
movie,318929.724556,318929.722236
movie,318936.724538,318936.722236
audio,318943.722412,318943.722236
audio,318950.722664,318950.722236
audio,318957.722567,318957.722236
movie,318964.724604,318964.722236
movie,318971.725247,318971.722236
movie,318978.724494,318978.722236
fix,318985.722372,318985.722236
