trial_type,onset
fix,11061.131697,11070.131697
movie,11077.237866,11077.131697
movie,11084.134078,11084.131697
movie,11091.133942,11091.131697
movie,11098.134026,11098.131697
movie,11105.133740,11105.131697
movie,11112.134671,11112.131697
movie,11119.134117,11119.131697
movie,11126.133882,11126.131697
movie,11133.134073,11133.131697
audio,11140.131711,11140.131697
audio,11147.132125,11147.131697
audio,11154.132205,11154.131697
movie,11161.133539,11161.131697
movie,11168.134348,11168.131697
movie,11175.134105,11175.131697
fix,11182.132075,11182.131697
movie,11198.246898,11198.131697
movie,11205.133990,11205.131697
movie,11212.133896,11212.131697
audio,11219.131763,11219.131697
audio,11226.132100,11226.131697
audio,11233.131775,11233.131697
movie,11240.134245,11240.131697
movie,11247.133956,11247.131697
movie,11254.134014,11254.131697
movie,11261.133843,11261.131697
movie,11268.133786,11268.131697
movie,11275.133974,11275.131697
movie,11282.133817,11282.131697
movie,11289.133518,11289.131697
movie,11296.134404,11296.131697
fix,11303.132293,11303.131697
