color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
grey,113_G_SV_Princess_3_NA.ogv,113,G,SV,Princess,3,NA,4,A,1
none,128_G_TK_Mother_3_NA.ogv,128,G,TK,Mother,3,NA,4,A,1
green,48_G_JH_Hood_3_NA.ogv,48,G,JH,Hood,3,NA,4,A,1
green,54_G_JH_Princess_1_NF.ogv,54,G,JH,Princess,1,NF,4,B,1
grey,104_G_SV_Hood_2_NF.ogv,104,G,SV,Hood,2,NF,4,B,1
blue,24_G_DS_Frog_1_NF.ogv,24,G,DS,Frog,1,NF,4,B,1
blue,36_NG_DS_XX_17_NA.ogv,36,NG,DS,XX,17,NA,4,C,1
red,81_NG_ST_XX_6_NA.ogv,81,NG,ST,XX,6,NA,4,C,1
yellow,06_NG_CG_XX_6_NA.ogv,6,NG,CG,XX,6,NA,4,C,1
yellow,07_NG_CG_XX_7_NF.ogv,7,NG,CG,XX,7,NF,4,D,1
grey,97_NG_SV_XX_3_NF.ogv,97,NG,SV,XX,3,NF,4,D,1
orange,147_NG_VS_XX_16_NF.ogv,147,NG,VS,XX,16,NF,4,D,1
none,130_G_TK_Princess_1.ogg,130,G,TK,Princess,1,audio,4,E,1
grey,100_G_SV_Frog_2.ogg,100,G,SV,Frog,2,audio,4,E,1
purple,60_G_MY_Bee_4.ogg,60,G,MY,Bee,4,audio,4,E,1
red,85_G_ST_Hood_2.ogg,85,G,ST,Hood,2,audio,4,E,1
green,45_G_JH_Frog_4.ogg,45,G,JH,Frog,4,audio,4,E,1
orange,145_G_VS_Mother_2.ogg,145,G,VS,Mother,2,audio,4,E,1
purple,72_NG_MY_XX_16_NF.ogv,72,NG,MY,XX,16,NF,4,D,1
none,127_NG_TK_XX_14_NF.ogv,127,NG,TK,XX,14,NF,4,D,1
blue,32_NG_DS_XX_13_NF.ogv,32,NG,DS,XX,13,NF,4,D,1
none,126_NG_TK_XX_13_NA.ogv,126,NG,TK,XX,13,NA,4,C,1
purple,66_NG_MY_XX_10_NA.ogv,66,NG,MY,XX,10,NA,4,C,1
green,46_NG_JH_XX_9_NA.ogv,46,NG,JH,XX,9,NA,4,C,1
red,79_G_ST_Bee_4_NF.ogv,79,G,ST,Bee,4,NF,4,B,1
purple,69_G_MY_Hood_3_NF.ogv,69,G,MY,Hood,3,NF,4,B,1
orange,144_G_VS_Mother_1_NF.ogv,144,G,VS,Mother,1,NF,4,B,1
yellow,18_G_CG_Princess_2_NA.ogv,18,G,CG,Princess,2,NA,4,A,1
orange,143_G_VS_Hood_4_NA.ogv,143,G,VS,Hood,4,NA,4,A,1
blue,33_G_DS_Mother_2_NA.ogv,33,G,DS,Mother,2,NA,4,A,1
