trial_type,onset
fix,63857.454808,63866.454808
movie,63873.547876,63873.454808
movie,63880.457532,63880.454808
movie,63887.457190,63887.454808
movie,63894.456746,63894.454808
movie,63901.457064,63901.454808
movie,63908.457403,63908.454808
movie,63915.457073,63915.454808
movie,63922.457386,63922.454808
movie,63929.457299,63929.454808
audio,63936.455073,63936.454808
audio,63943.454933,63943.454808
audio,63950.455269,63950.454808
movie,63957.456828,63957.454808
movie,63964.457380,63964.454808
movie,63971.457077,63971.454808
fix,63978.455291,63978.454808
movie,63994.828615,63994.454808
movie,64001.457471,64001.454808
movie,64008.597766,64008.454808
audio,64015.454825,64015.454808
audio,64022.455228,64022.454808
audio,64029.455378,64029.454808
movie,64036.457315,64036.454808
movie,64043.457586,64043.454808
movie,64050.457563,64050.454808
movie,64057.457127,64057.454808
movie,64064.457050,64064.454808
movie,64071.457354,64071.454808
movie,64078.457552,64078.454808
movie,64085.457616,64085.454808
movie,64092.457081,64092.454808
fix,64099.455238,64099.454808
