trial_type,onset
fix,86036.983569,86045.983569
movie,86053.114433,86052.983569
movie,86059.985771,86059.983569
movie,86066.985477,86066.983569
movie,86073.986004,86073.983569
movie,86080.985530,86080.983569
movie,86087.985579,86087.983569
audio,86094.983848,86094.983569
audio,86101.983895,86101.983569
audio,86108.984065,86108.983569
movie,86115.985921,86115.983569
movie,86122.985444,86122.983569
movie,86129.985276,86129.983569
movie,86136.985748,86136.983569
movie,86143.985879,86143.983569
movie,86150.986040,86150.983569
fix,86157.983662,86157.983569
movie,86174.352845,86173.983569
movie,86180.986042,86180.983569
movie,86187.986344,86187.983569
movie,86194.985354,86194.983569
movie,86201.985645,86201.983569
movie,86208.985948,86208.983569
audio,86215.983700,86215.983569
audio,86222.983596,86222.983569
audio,86229.983685,86229.983569
movie,86236.986110,86236.983569
movie,86243.985698,86243.983569
movie,86250.985673,86250.983569
movie,86257.985995,86257.983569
movie,86264.985960,86264.983569
movie,86271.985528,86271.983569
fix,86278.984080,86278.983569
