trial_type,onset
fix,12560.457646,12569.457646
movie,12576.583349,12576.457646
movie,12583.459737,12583.457646
movie,12590.460226,12590.457646
audio,12597.457725,12597.457646
audio,12604.457699,12604.457646
audio,12611.458124,12611.457646
movie,12618.459463,12618.457646
movie,12625.459695,12625.457646
movie,12632.460162,12632.457646
movie,12639.459566,12639.457646
movie,12646.459326,12646.457646
movie,12653.459900,12653.457646
movie,12660.459564,12660.457646
movie,12667.459802,12667.457646
movie,12674.459418,12674.457646
fix,12681.458034,12681.457646
movie,12697.559231,12697.457646
movie,12704.459706,12704.457646
movie,12711.459999,12711.457646
movie,12718.460074,12718.457646
movie,12725.459958,12725.457646
movie,12732.459930,12732.457646
movie,12739.459904,12739.457646
movie,12746.460162,12746.457646
movie,12753.459652,12753.457646
audio,12760.458260,12760.457646
audio,12767.457736,12767.457646
audio,12774.457746,12774.457646
movie,12781.460640,12781.457646
movie,12788.460141,12788.457646
movie,12795.460429,12795.457646
fix,12802.458201,12802.457646
