color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
green,52_G_JH_Mother_3.ogg,52,G,JH,Mother,3,audio,2,E,5
blue,27_G_DS_Frog_4.ogg,27,G,DS,Frog,4,audio,2,E,5
red,92_G_ST_Princess_1.ogg,92,G,ST,Princess,1,audio,2,E,5
yellow,15_G_CG_Mother_3_NA.ogv,15,G,CG,Mother,3,NA,2,A,5
green,45_G_JH_Frog_4_NA.ogv,45,G,JH,Frog,4,NA,2,A,5
grey,95_G_SV_Bee_1_NA.ogv,95,G,SV,Bee,1,NA,2,A,5
grey,106_G_SV_Hood_4_NF.ogv,106,G,SV,Hood,4,NF,2,B,5
red,81_G_ST_Frog_2_NF.ogv,81,G,ST,Frog,2,NF,2,B,5
blue,21_G_DS_Bee_2_NF.ogv,21,G,DS,Bee,2,NF,2,B,5
orange,133_NG_VS_XX_2_NA.ogv,133,NG,VS,XX,2,NA,2,C,5
grey,98_NG_SV_XX_4_NA.ogv,98,NG,SV,XX,4,NA,2,C,5
purple,73_NG_MY_XX_17_NA.ogv,73,NG,MY,XX,17,NA,2,C,5
purple,74_NG_MY_XX_18_NF.ogv,74,NG,MY,XX,18,NF,2,D,5
green,54_NG_JH_XX_17_NF.ogv,54,NG,JH,XX,17,NF,2,D,5
red,89_NG_ST_XX_14_NF.ogv,89,NG,ST,XX,14,NF,2,D,5
yellow,09_NG_CG_XX_9_NF.ogv,9,NG,CG,XX,9,NF,2,D,5
grey,99_NG_SV_XX_5_NF.ogv,99,NG,SV,XX,5,NF,2,D,5
blue,24_NG_DS_XX_5_NF.ogv,24,NG,DS,XX,5,NF,2,D,5
none,123_NG_TK_XX_10_NA.ogv,123,NG,TK,XX,10,NA,2,C,5
yellow,03_NG_CG_XX_3_NA.ogv,3,NG,CG,XX,3,NA,2,C,5
red,83_NG_ST_XX_8_NA.ogv,83,NG,ST,XX,8,NA,2,C,5
purple,71_G_MY_Mother_1_NF.ogv,71,G,MY,Mother,1,NF,2,B,5
green,46_G_JH_Hood_1_NF.ogv,46,G,JH,Hood,1,NF,2,B,5
orange,136_G_VS_Frog_1_NF.ogv,136,G,VS,Frog,1,NF,2,B,5
none,115_G_TK_Bee_2_NA.ogv,115,G,TK,Bee,2,NA,2,A,5
red,85_G_ST_Hood_2_NA.ogv,85,G,ST,Hood,2,NA,2,A,5
blue,35_G_DS_Princess_1_NA.ogv,35,G,DS,Princess,1,NA,2,A,5
yellow,07_G_CG_Frog_3.ogg,7,G,CG,Frog,3,audio,2,E,5
orange,132_G_VS_Bee_1.ogg,132,G,VS,Bee,1,audio,2,E,5
purple,67_G_MY_Hood_1.ogg,67,G,MY,Hood,1,audio,2,E,5
