trial_type,onset
fix,19411.089202,19420.089202
movie,19429.006762,19427.089202
movie,19434.249149,19434.089202
movie,19441.091850,19441.089202
audio,19448.090149,19448.089202
audio,19455.089491,19455.089202
audio,19462.089440,19462.089202
movie,19469.091159,19469.089202
movie,19476.091294,19476.089202
movie,19483.091236,19483.089202
movie,19490.091633,19490.089202
movie,19497.091513,19497.089202
movie,19504.091016,19504.089202
movie,19511.091017,19511.089202
movie,19518.091680,19518.089202
movie,19525.091397,19525.089202
fix,19532.089834,19532.089202
movie,19548.134555,19548.089202
movie,19555.091158,19555.089202
movie,19562.091561,19562.089202
movie,19569.091258,19569.089202
movie,19576.091187,19576.089202
movie,19583.091549,19583.089202
movie,19590.091339,19590.089202
movie,19597.090800,19597.089202
movie,19604.091010,19604.089202
audio,19611.089523,19611.089202
audio,19618.089877,19618.089202
audio,19625.089527,19625.089202
movie,19632.091478,19632.089202
movie,19639.091335,19639.089202
movie,19646.091362,19646.089202
fix,19653.089629,19653.089202
