trial_type,onset
fix,323995.171006,324004.171006
movie,324011.382649,324011.171006
movie,324018.173344,324018.171006
movie,324025.173349,324025.171006
movie,324032.172683,324032.171006
movie,324039.173039,324039.171006
movie,324046.173094,324046.171006
movie,324053.173037,324053.171006
movie,324060.173487,324060.171006
movie,324067.172988,324067.171006
audio,324074.171534,324074.171006
audio,324081.171398,324081.171006
audio,324088.171425,324088.171006
movie,324095.172805,324095.171006
movie,324102.173101,324102.171006
movie,324109.172903,324109.171006
fix,324116.171666,324116.171006
movie,324132.347390,324132.171006
movie,324139.172980,324139.171006
movie,324146.173135,324146.171006
audio,324153.171181,324153.171006
audio,324160.171385,324160.171006
audio,324167.171343,324167.171006
movie,324174.173587,324174.171006
movie,324181.172950,324181.171006
movie,324188.174278,324188.171006
movie,324195.173423,324195.171006
movie,324202.173049,324202.171006
movie,324209.173053,324209.171006
movie,324216.173096,324216.171006
movie,324223.173665,324223.171006
movie,324230.173190,324230.171006
fix,324237.171033,324237.171006
